corridor,hidden_size,num_layers,dropout,lr,mae,rmse,role
E2,32,1,0.0,0.0005,5.128151366538658,6.925541688551211,winner
E2,32,1,0.2,0.0005,5.128151366538658,6.925541688551211,neighbor
E2,32,1,0.0,0.001,5.137514559349236,6.9335164817828066,neighbor
E2,64,1,0.0,0.0005,5.1522036987338495,6.936392371599498,neighbor
E59,32,2,0.2,0.0005,4.224465201445966,5.563121318708254,winner
E59,32,2,0.0,0.0005,4.233464131180412,5.576631851086088,neighbor
E59,32,2,0.2,0.001,4.228596895572898,5.573001535099901,neighbor
E59,64,2,0.2,0.0005,4.244395987995022,5.59363739580696,neighbor
