corridor,horizon,tercile,n,share,mae_persist,mae_dl,delta_mae,p33_threshold,p66_threshold,calib_split,calib_n
E2,3,low,180258,0.3035392537559737,3.8437599358167,3.6837902943825385,-0.1599696414341616,3.0612301556352177,6.018463033927212,train+val,4085022
E2,3,mid,199465,0.3358822202090076,5.407434521902277,4.819822300162665,-0.5876122217396125,3.0612301556352177,6.018463033927212,train+val,4085022
E2,3,high,214131,0.3605785260350187,7.696718550570684,5.8821669643518515,-1.8145515862188324,3.0612301556352177,6.018463033927212,train+val,4085022
E2,5,low,176082,0.3041765060521938,4.318708555393542,3.998158040288686,-0.320550515104856,3.062716924231858,6.02343863072708,train+val,3985075
E2,5,mid,193735,0.3346715473473823,5.880956924317857,5.036586564724905,-0.8443703595929524,3.062716924231858,6.02343863072708,train+val,3985075
E2,5,high,209064,0.36115194660042393,8.10775380994789,5.867243117539893,-2.240510692407998,3.062716924231858,6.02343863072708,train+val,3985075
E2,10,low,171158,0.30502705284393467,4.930786268324946,4.357842043704322,-0.572944224620624,3.0737733863157377,6.035205916140785,train+val,3868950
E2,10,mid,187520,0.3341863830454588,6.391367772932764,5.239295288533807,-1.152072484398957,3.0737733863157377,6.035205916140785,train+val,3868950
E2,10,high,202446,0.36078656411060656,8.565725498630618,5.757655169458609,-2.8080703291720095,3.0737733863157377,6.035205916140785,train+val,3868950
E59,3,low,753180,0.348491319180163,2.681323118639993,2.837542257539096,0.156219138899103,2.39273193283342,4.689076684301158,train+val,13524648
E59,3,mid,741420,0.34305004629246194,3.6356695541989206,3.477929464573721,-0.1577400896251997,2.39273193283342,4.689076684301158,train+val,13524648
E59,3,high,666659,0.30845863452737504,5.568999213186436,4.990370934497695,-0.5786282786887416,2.39273193283342,4.689076684301158,train+val,13524648
E59,5,low,743656,0.34862737137598526,3.2804953400339,3.206328286002135,-0.07416705403176493,2.39211148904541,4.688360554833214,train+val,13334424
E59,5,mid,731191,0.34278375526288773,4.134071499201063,3.719968230566987,-0.4141032686340762,2.39211148904541,4.688360554833214,train+val,13334424
E59,5,high,658250,0.30858887336112706,5.952579231322374,4.983774412436267,-0.9688048188861069,2.39211148904541,4.688360554833214,train+val,13334424
E59,10,low,724542,0.3485838549359403,4.285051418298061,3.777382170919029,-0.5076692473790323,2.3931365055238865,4.693465941672844,train+val,12970697
E59,10,mid,713635,0.34333639639552954,4.936966581829561,4.028034213500797,-0.908932368328764,2.3931365055238865,4.693465941672844,train+val,12970697
E59,10,high,640353,0.30807974866853016,6.805426385968334,4.840134402075072,-1.9652919838932625,2.3931365055238865,4.693465941672844,train+val,12970697
E4,3,low,158118,0.2987919295679632,2.8872007570069362,3.233341521621058,0.3461407646141219,2.120724148716684,5.04768647858102,train+val,3154153
E4,3,mid,181300,0.3425984190963187,3.946187681702729,4.045196468775614,0.09900878707288463,2.120724148716684,5.04768647858102,train+val,3154153
E4,3,high,189773,0.3586096513357181,6.215114706636184,5.71790755485284,-0.4972071517833436,2.120724148716684,5.04768647858102,train+val,3154153
E4,5,low,152163,0.2989355933801688,3.8461452115063497,3.754872827725489,-0.09127238378086089,2.1134093367718663,5.0332226726333635,train+val,3021081
E4,5,mid,173994,0.3418242255646188,4.925689289952747,4.57024358158343,-0.35544570836931744,2.1134093367718663,5.0332226726333635,train+val,3021081
E4,5,high,182859,0.35924018105521244,7.106643120221162,5.999106730458318,-1.1075363897628439,2.1134093367718663,5.0332226726333635,train+val,3021081
E4,10,low,144942,0.301095595597675,5.301908817926907,4.529869112068633,-0.7720397058582735,2.1065835109769893,5.017232371650339,train+val,2832992
E4,10,mid,163617,0.3398901496109119,6.364665384732998,5.230205770132745,-1.134459614600253,2.1065835109769893,5.017232371650339,train+val,2832992
E4,10,high,172823,0.3590142547914131,8.410816316664006,6.202959408921242,-2.207856907742764,2.1065835109769893,5.017232371650339,train+val,2832992
