corridor,direction,baseline,metric,horizon,n_seeds,mean,std,ci_half,ci_low,ci_high,cv_pct
E2,+1,LSTM,MAE,1,5,3.7989635543392692,0.004198460125659988,0.005213076785926058,3.7937504775533433,3.804176631125195,0.11051593587583655
E2,+1,LSTM,MAE,3,5,4.15338165261088,0.0013893518473425735,0.0017251081696831657,4.151656544441197,4.155106760780564,0.0334510999361016
E2,+1,LSTM,MAE,5,5,4.2450413235661495,0.0034355043539737277,0.004265742072001459,4.240775581494148,4.249307065638151,0.08092982122227374
E2,+1,LSTM,MAE,10,5,4.304614136076034,0.009187615066128713,0.011407930856966519,4.293206205219067,4.316022066933001,0.21343643763860998
E2,+1,LSTM,RMSE,1,5,5.372920896464798,0.0025721336743023226,0.00319372578194876,5.369727170682849,5.376114622246747,0.047872167185537766
E2,+1,LSTM,RMSE,3,5,5.801805271361529,0.007425413371498888,0.009219868455171,5.792585402906358,5.811025139816699,0.1279845328169096
E2,+1,LSTM,RMSE,5,5,5.969108479569138,0.01019782792070963,0.012662275789022298,5.956446203780115,5.98177075535816,0.17084340074593066
E2,+1,LSTM,RMSE,10,5,6.136089558982189,0.00544000912327023,0.006754663478264668,6.129334895503924,6.142844222460453,0.08865596029815087
E2,-1,LSTM,MAE,1,5,5.364231062294075,0.011345414094763933,0.014087192226181922,5.350143870067893,5.378318254520257,0.21150121914979433
E2,-1,LSTM,MAE,3,5,5.957811543606253,0.00992380445572122,0.012322030717883141,5.945489512888369,5.970133574324136,0.16656794836639563
E2,-1,LSTM,MAE,5,5,6.129026489337086,0.010070074958936201,0.012503649535724328,6.116522839801362,6.1415301388728105,0.16430137765688427
E2,-1,LSTM,MAE,10,5,6.2369684530545335,0.01893237320877127,0.02350764621388876,6.2134608068406445,6.2604760992684225,0.30355088936675967
E2,-1,LSTM,RMSE,1,5,6.924394533770655,0.010251483146433782,0.012728897551119474,6.911665636219535,6.9371234313217744,0.1480488019051591
E2,-1,LSTM,RMSE,3,5,7.482329030355186,0.013152493270410126,0.016330977380485535,7.4659980529747,7.498660007735672,0.17578073908607275
E2,-1,LSTM,RMSE,5,5,7.65875471652898,0.014983864472912244,0.01860492506997955,7.640149791459001,7.67735964159896,0.195643613452907
E2,-1,LSTM,RMSE,10,5,7.820507508898679,0.03721527939584149,0.046208872608910705,7.774298636289768,7.866716381507589,0.4758678302334668
E2,aggregate,LSTM,MAE,1,5,4.46720067525991,0.006886898099340577,0.008551213429249124,4.458649461830661,4.475751888689159,0.1541658546364695
E2,aggregate,LSTM,MAE,3,5,4.923736162382655,0.004558733844001176,0.005660415691489315,4.918075746691166,4.929396578074144,0.09258688308341749
E2,aggregate,LSTM,MAE,5,5,5.0493824468499895,0.006209472217453137,0.007710078100258054,5.041672368749731,5.057092524950248,0.12297488421236262
E2,aggregate,LSTM,MAE,10,5,5.129610245446498,0.005178462583892665,0.006429910556464761,5.1231803348900335,5.136040156002963,0.1009523596551908
E2,aggregate,LSTM,RMSE,1,5,6.083863815207821,0.005585902080333334,0.006935813510641411,6.07692800169718,6.090799628718463,0.09181504139475093
E2,aggregate,LSTM,RMSE,3,5,6.572044727472583,0.006960686864602517,0.008642834282546785,6.5634018931900355,6.58068756175513,0.10591356500520036
E2,aggregate,LSTM,RMSE,5,5,6.742479436956723,0.010868332017033848,0.013494816586076227,6.728984620370646,6.755974253542799,0.1611919193622245
E2,aggregate,LSTM,RMSE,10,5,6.905690131698736,0.01964089897594336,0.024387397150786052,6.88130273454795,6.930077528849522,0.2844161640816612
E59,+1,LSTM,MAE,1,5,3.0882119507205736,0.0069698074964344835,0.008654159042733407,3.07955779167784,3.0968661097633072,0.22569071060061846
E59,+1,LSTM,MAE,3,5,3.7671541794453836,0.00326169731343137,0.004049932127125671,3.763104247318258,3.771204111572509,0.08658252776666472
E59,+1,LSTM,MAE,5,5,3.991941707431799,0.007446128124658842,0.009245589218401394,3.9826961182133975,4.0011872966502,0.18652897938856128
E59,+1,LSTM,MAE,10,5,4.237617685483806,0.006801263739490157,0.008444884327613632,4.229172801156192,4.24606256981142,0.16049734176795283
E59,+1,LSTM,RMSE,1,5,4.335761586552884,0.0059508606081387794,0.00738896937545488,4.328372617177429,4.343150555928339,0.13725064188480823
E59,+1,LSTM,RMSE,3,5,4.953807076225035,0.0030685190258806327,0.003810069602239266,4.949997006622795,4.957617145827274,0.061942642873750065
E59,+1,LSTM,RMSE,5,5,5.187028771525939,0.010654991854906901,0.013229919787392243,5.173798851738547,5.200258691313331,0.20541609318608767
E59,+1,LSTM,RMSE,10,5,5.4796258259887765,0.010886861188644105,0.013517823591381223,5.466108002397395,5.4931436495801576,0.19867891594002435
E59,-1,LSTM,MAE,1,5,3.4988884955561597,0.0017352942120860558,0.0021546523494386225,3.496733843206721,3.501043147905598,0.04959558483472693
