corridor,direction,baseline,metric,value,horizon,seed
E2,-1,LSTM,MAE,6.26578235366856,10,42
E2,-1,LSTM,RMSE,7.882856027749189,10,42
E2,+1,LSTM,MAE,4.301006302943728,10,42
E2,+1,LSTM,RMSE,6.152059992500797,10,42
E2,aggregate,LSTM,MAE,5.139844492912326,10,42
E2,aggregate,LSTM,RMSE,6.943979210279148,10,42
E2,-1,LSTM,MAE,6.244771331814354,10,123
E2,-1,LSTM,RMSE,7.847723810016715,10,123
E2,+1,LSTM,MAE,4.313292372794419,10,123
E2,+1,LSTM,RMSE,6.147992226354296,10,123
E2,aggregate,LSTM,MAE,5.137914758307008,10,123
E2,aggregate,LSTM,RMSE,6.924899084167939,10,123
E2,-1,LSTM,MAE,6.273858113434948,10,456
E2,-1,LSTM,RMSE,7.853088185640614,10,456
E2,+1,LSTM,MAE,4.325911536301074,10,456
E2,+1,LSTM,RMSE,6.176139774504182,10,456
E2,aggregate,LSTM,MAE,5.157564579056607,10,456
E2,aggregate,LSTM,RMSE,6.941828141289945,10,456
E2,-1,LSTM,MAE,6.275351690959071,10,789
E2,-1,LSTM,RMSE,7.852743183938439,10,789
E2,+1,LSTM,MAE,4.313737563804807,10,789
E2,+1,LSTM,RMSE,6.15722421825777,10,789
E2,aggregate,LSTM,MAE,5.15122580743027,10,789
E2,aggregate,LSTM,RMSE,6.932025216638256,10,789
E2,-1,LSTM,MAE,6.2480115075639695,10,999
E2,-1,LSTM,RMSE,7.871464144035618,10,999
E2,+1,LSTM,MAE,4.308493813845219,10,999
E2,+1,LSTM,RMSE,6.159523188498448,10,999
E2,aggregate,LSTM,MAE,5.136548243260167,10,999
E2,aggregate,LSTM,RMSE,6.942253173305989,10,999
E59,-1,LSTM,MAE,4.209484376053008,10,42
E59,-1,LSTM,RMSE,5.616644062788904,10,42
E59,+1,LSTM,MAE,4.234197869794052,10,42
E59,+1,LSTM,RMSE,5.491072880120144,10,42
E59,aggregate,LSTM,MAE,4.219612364159427,10,42
E59,aggregate,LSTM,RMSE,5.5655256044063295,10,42
E59,-1,LSTM,MAE,4.22446640641254,10,123
E59,-1,LSTM,RMSE,5.64550736709915,10,123
E59,+1,LSTM,MAE,4.230233290206457,10,123
E59,+1,LSTM,RMSE,5.50060466214444,10,123
E59,aggregate,LSTM,MAE,4.226829768351078,10,123
E59,aggregate,LSTM,RMSE,5.586578441820895,10,123
E59,-1,LSTM,MAE,4.209227432001877,10,456
E59,-1,LSTM,RMSE,5.617769707674443,10,456
E59,+1,LSTM,MAE,4.2464089178153515,10,456
E59,+1,LSTM,RMSE,5.505614094316114,10,456
E59,aggregate,LSTM,MAE,4.224465004238474,10,456
E59,aggregate,LSTM,RMSE,5.572079541424179,10,456
E59,-1,LSTM,MAE,4.219299503276447,10,789
E59,-1,LSTM,RMSE,5.6334831609382725,10,789
E59,+1,LSTM,MAE,4.220136962655496,10,789
E59,+1,LSTM,RMSE,5.489432027387455,10,789
E59,aggregate,LSTM,MAE,4.219642707629482,10,789
E59,aggregate,LSTM,RMSE,5.574898837508588,10,789
E59,-1,LSTM,MAE,4.232458380120317,10,999
E59,-1,LSTM,RMSE,5.6515982621657255,10,999
E59,+1,LSTM,MAE,4.231849794451404,10,999
E59,+1,LSTM,RMSE,5.493014411339133,10,999
E59,aggregate,LSTM,MAE,4.232208971903046,10,999
E59,aggregate,LSTM,RMSE,5.587152414742039,10,999
