corridor,horizon,model,n_cells,base_rate,trivial_f1,fire_rate_fixed,f1_fixed,mcc_fixed,auc,average_precision,ap_lift,threshold_fitted,fire_rate_calibrated,f1_calibrated,mcc_calibrated,threshold_f1fit,fire_rate_f1fit,f1_f1fit
E2,1,LSTM,66634,0.2985863072905724,0.4598636311105975,0.05075486988624426,0.2072342984792508,0.20948750056815796,0.7136689758888803,0.5272915308614224,1.765960186339969,-0.8012548331527406,0.31578473451991473,0.52191118276418,0.310425424767755,-0.9121226457827929,0.44462286520394995,0.5393857399592109
E2,1,Persistence,66634,0.2985863072905724,0.4598636311105975,0.3027733589458835,0.5811185146365201,0.4010485128624551,0.7229959970889234,0.5289538156951993,1.771527370076091,-0.46461377309624025,0.2826484977639043,0.5747998967208882,0.4010895389715307,-0.5309626954869977,0.32115736710988385,0.5817996900426191
E2,3,LSTM,56594,0.30052655758560975,0.4621613543110241,0.008817189101318162,0.03804192608670818,0.07545709555769237,0.6294117719050688,0.4256227852343355,1.416256814884289,-0.8711662170927149,0.30793016927589495,0.42793669231886167,0.17788061397157506,-1.0923009336344007,0.6914160511715023,0.48053012219886704
E2,3,Persistence,56594,0.30052655758560975,0.4621613543110241,0.3040251616779164,0.4140994914362542,0.16028681387804755,0.5981227382916954,0.3828141533349056,1.2738113942753793,-0.5064512609745158,0.30750609605258505,0.41521606463049604,0.15984358360522005,-4.863025142310932,0.9999469908470863,0.46215301838340195
E2,5,LSTM,53865,0.30025062656641605,0.46183500385505016,0.0023577462173953404,0.010552147239263805,0.03997523249733262,0.6036685484279967,0.39701753812314594,1.3222871261363542,-0.9129542926641381,0.33801169590643276,0.41244909831297266,0.1389945393219241,-1.1308219832048383,0.7846468021906619,0.47154248947602595
E2,5,Persistence,53865,0.30025062656641605,0.46183500385505016,0.3017543859649123,0.37530453017547105,0.10630106332344676,0.566751992653403,0.3520518069207538,1.1725264687928276,-0.5970283088574424,0.35828460038986354,0.3947338746053225,0.1019081407175733,-5.2014646806501075,1.0,0.46183500385505016
E2,10,LSTM,50356,0.3027444594487251,0.46477950031249526,0.0002780204940821352,0.0013107018808571989,0.014937505346829584,0.5654976520651522,0.36092111792046344,1.1921642383734246,-0.903429480040722,0.2697990308999921,0.3459470708612257,0.0851024132299448,-1.3947567037340118,0.9763483993962984,0.464865704083217
E2,10,Persistence,50356,0.3027444594487251,0.46477950031249526,0.2995472237667805,0.3320913976721949,0.044293303558623015,0.5283342910637369,0.3265411177635598,1.0786031174878201,-1.2017755613883243,0.6541226467551037,0.42640710609330895,0.027343026222662332,-3.8668146984115435,0.9994439590118357,0.46479496134079573
E4,1,LSTM,73159,0.18317636927787423,0.30963493530499075,0.08610013805546822,0.46588832487309645,0.43274357957393655,0.810881715868959,0.5792633851651179,3.1623259454738344,-0.5842640937600709,0.155141541027078,0.5617550806028039,0.47562988670729883,-0.6156947060990258,0.1840375073470113,0.5721198585520193
E4,1,Persistence,73159,0.18317636927787423,0.30963493530499075,0.1896827458002433,0.6861206833345552,0.6143635116725165,0.8326249429897812,0.6153694315752395,3.359436776704197,-0.4944711975286208,0.18660725269618228,0.6865042693971093,0.6154410964369871,-0.4944711975286208,0.18660725269618228,0.6865042693971093
