corridor,direction,baseline,metric,value,horizon
E2,-1,LSTM,MAE,5.941143546262264,3
E2,-1,LSTM,RMSE,7.464434911041242,3
E2,+1,LSTM,MAE,4.1530241652912645,3
E2,+1,LSTM,RMSE,5.806149401112022,3
E2,aggregate,LSTM,MAE,4.916415326131247,3
E2,aggregate,LSTM,RMSE,6.5655494620655075,3
E59,-1,LSTM,MAE,3.89939061277888,3
E59,-1,LSTM,RMSE,5.213738940926628,3
E59,+1,LSTM,MAE,3.7708660914144807,3
E59,+1,LSTM,RMSE,4.958290674788163,3
E59,aggregate,LSTM,MAE,3.84672010276469,3
E59,aggregate,LSTM,RMSE,5.110598277047468,3
