model,corridor,horizon,pair_rank,n,mean_headway,mae
XGBoost,E59,1,8,18800,8.401297127794711,3.1532622733141515
XGBoost,E59,1,9,14270,8.021996852644858,3.104639537834002
XGBoost,E59,1,10,9836,7.5354375763606525,2.970524871140876
XGBoost,E59,1,11,6078,7.15415667726555,2.739807117648249
XGBoost,E59,1,12,3445,7.123588762573995,2.5128711216681583
XGBoost,E59,1,13,1560,6.722123308976491,2.4134044171907965
XGBoost,E59,1,14,650,6.285225318761972,2.278513122705313
XGBoost,E59,1,15,219,6.554362475599873,2.3586566927226165
XGBoost,E59,1,16,64,6.093764275312424,2.7875438891351223
XGBoost,E59,3,1,22458,10.11789700201267,4.255297856834504
XGBoost,E59,3,2,27941,9.302670034767157,3.7878104632160445
XGBoost,E59,3,3,28375,9.533488420998998,3.8328899637381935
XGBoost,E59,3,4,27685,9.545227719765611,3.8349142322519616
XGBoost,E59,3,5,26154,9.615768531032993,3.9421149420247783
XGBoost,E59,3,6,24146,9.227864446610788,3.872282092399253
XGBoost,E59,3,7,21626,8.842352833104467,3.770871946419861
XGBoost,E59,3,8,17910,8.391062042182016,3.6599154752303207
XGBoost,E59,3,9,13524,8.024964205825938,3.5711510403027233
XGBoost,E59,3,10,9188,7.50240142474135,3.3460139114544294
XGBoost,E59,3,11,5573,7.210143030085513,3.1017492930636292
XGBoost,E59,3,12,3103,7.131393306761682,2.8817109079695964
XGBoost,E59,3,13,1369,6.764635186721322,2.72622272217683
XGBoost,E59,3,14,558,6.091672970829899,2.6108209937276805
XGBoost,E59,3,15,163,6.52462627551307,2.822400929737676
XGBoost,E59,3,16,53,6.524105764784903,3.574202060699463
XGBoost,E59,5,1,22311,10.110037959924085,4.810181818337129
XGBoost,E59,5,2,27686,9.29756061067852,4.1631932300457954
XGBoost,E59,5,3,28101,9.557964756549802,4.205030623884253
XGBoost,E59,5,4,27321,9.550414777719226,4.156897338041166
XGBoost,E59,5,5,25788,9.659746850629693,4.234506065612138
XGBoost,E59,5,6,23800,9.237845383331555,4.13571667540975
XGBoost,E59,5,7,21265,8.841903313126195,4.034123708701206
XGBoost,E59,5,8,17650,8.41354559763295,3.9140704620458586
XGBoost,E59,5,9,13281,8.038645722601986,3.7444662379442986
XGBoost,E59,5,10,8903,7.521699666735913,3.4887416943879286
XGBoost,E59,5,11,5399,7.189278307612858,3.2665058979172907
XGBoost,E59,5,12,3009,7.167594650885955,3.098892407862599
XGBoost,E59,5,13,1296,6.817026332572654,2.8832019685227195
XGBoost,E59,5,14,529,6.277095350290742,2.889124467828098
XGBoost,E59,5,15,158,6.529435664792604,3.2104503776453717
XGBoost,E59,5,16,42,6.1525434993562245,3.47551729565575
XGBoost,E59,10,1,21521,10.086956715241477,5.572537323981101
XGBoost,E59,10,2,27192,9.318799414347817,4.703946390321024
XGBoost,E59,10,3,27677,9.553629409975281,4.706075361337768
XGBoost,E59,10,4,26789,9.590369995721952,4.640409510615086
XGBoost,E59,10,5,25108,9.670917376564892,4.6407888899454175
XGBoost,E59,10,6,23137,9.311790034276033,4.4606362985761905
XGBoost,E59,10,7,20649,8.855207776693092,4.3384258631753765
XGBoost,E59,10,8,17067,8.50756044556011,4.17893587952724
XGBoost,E59,10,9,12718,8.142695033038482,4.032729962164922
XGBoost,E59,10,10,8401,7.759424221457477,3.844113829135611
XGBoost,E59,10,11,4996,7.367585641369999,3.5363453145118786
XGBoost,E59,10,12,2744,7.437309517804805,3.400288600268239
XGBoost,E59,10,13,1136,7.019182370162346,3.160489966332073
XGBoost,E59,10,14,441,6.587695286117173,3.347854707246465
XGBoost,E59,10,15,138,7.103851553322612,3.6653375729270605
XGBoost,E59,10,16,41,6.45513604326946,3.313699838591785
