corridor,horizon,population,metric,n,delta_loss,delta_mae,median_delta,win_rate,dm_stat,dm_lag,dm_p_two_sided,dm_p_one_sided,wilcoxon_alternative,wilcoxon_p_one_sided,wilcoxon_p_two_sided,dl_better
E2,1,distinct_target,MAE,108313,-0.006595099088874098,-0.006595099088874098,0.003757476806640625,0.501075586494696,-0.8341625702969623,47,0.40418937999196347,0.7979053100040183,greater,0.7082241656632001,0.5835516686735998,false
E2,3,distinct_target,MAE,111109,-0.04109940803618883,-0.04109940803618883,-0.0037260055541992188,0.499041481788154,-4.258635201811259,48,0.000020567880532015186,0.999989716059734,greater,0.9999690747555694,0.00006185048886124056,false
E2,5,distinct_target,MAE,114188,-0.05616187209126226,-0.05616187209126226,-0.004199028015136719,0.49903667635828636,-5.3985116842697,48,6.719599257377441e-8,0.9999999664020037,greater,0.9999999916457141,1.6708571794612414e-8,false
E2,10,distinct_target,MAE,118584,-0.05810441173764365,-0.05810441173764365,0.006242513656616211,0.5014588814679889,-5.3579059118086985,49,8.41920618198329e-8,0.9999999579039691,greater,0.999999985972088,2.8055824129243027e-8,false
E4,1,distinct_target,MAE,107071,-0.19651343765508272,-0.19651343765508272,-0.17955231666564941,0.4311811788439447,-22.028508438801055,47,1.5354659187654023e-107,1.0,greater,1.0,0.0,false
E4,3,distinct_target,MAE,104364,-0.12266679195239058,-0.12266679195239058,-0.08796119689941406,0.47863247863247865,-10.79444087057536,47,3.656815182130132e-27,1.0,greater,1.0,8.709939176687666e-71,false
E4,5,distinct_target,MAE,103595,0.015120307248130868,0.015120307248130868,0.06857967376708984,0.5151696510449346,1.2222127908761575,46,0.22162716808548422,0.11081358404274211,greater,2.349256939671705e-10,4.69851387934341e-10,true
E4,10,distinct_target,MAE,104084,0.1778583949829274,0.1778583949829274,0.24758005142211914,0.5466642327350986,11.938770818530553,47,7.431326465324494e-33,3.715663232662247e-33,greater,3.791653810582066e-192,7.583307621164131e-192,true
E59,1,distinct_target,MAE,260203,0.009897594851862429,0.009897594851862429,-0.006835460662841797,0.49770371594485846,1.8556594893093645,63,0.06350210849169853,0.031751054245849265,greater,0.806742714216716,0.3865145715665681,true
E59,3,distinct_target,MAE,260681,0.0589261279174607,0.0589261279174607,0.06761837005615234,0.5185494915241233,8.67047573942732,63,4.303186359748813e-18,2.1515931798744067e-18,greater,8.231968354713043e-76,1.6463936709426087e-75,true
E59,5,distinct_target,MAE,263630,0.1284644050875424,0.1284644050875424,0.14075374603271484,0.5341159959033493,16.201525672190325,64,4.919134540131208e-59,2.459567270065604e-59,greater,1.7728300235492018e-288,3.5456600470984036e-288,true
E59,10,distinct_target,MAE,267106,0.2378110896938274,0.2378110896938274,0.2650279998779297,0.559848898938998,27.864889841980986,64,7.110448627484706e-171,3.555224313742353e-171,greater,0.0,0.0,true
