corridor,horizon,tercile,tercile_order,n,share,mean_exante_std,mae_persist,mae_lstm,mae_xgb,delta_lstm_persist,delta_lstm_xgb,dm_p_lstm_persist,dm_p_lstm_xgb,n_service_days,p33_threshold,p66_threshold,calib_split,calib_n
E2,1,low,0,25020,0.2806317017362825,1.7711718430664438,2.5548206327821044,2.7726231803711086,2.6667571263157015,0.2178025475890042,0.10586605405540706,1.1372842827381506e-8,4.2421031809865915e-6,22,2.8483562768579436,5.973335452596174,train+val,1452820
E2,1,mid,1,31981,0.3587083314639508,4.280026170544863,3.8456830660810257,3.931490892563434,3.9379403450927324,0.08580782648240826,-0.006449452529298405,0.0020976375932489294,0.6659090037152352,22,2.8483562768579436,5.973335452596174,train+val,1452820
E2,1,high,2,32155,0.3606599667997667,8.389310029633712,5.642917067947886,5.563215660103519,5.5502467258557475,-0.07970140784436719,0.012968934247771458,0.21501178901387638,0.5771224651828585,22,2.8483562768579436,5.973335452596174,train+val,1452820
E2,3,low,0,22737,0.2813880672747299,1.780577270351701,3.7701068768931414,3.5813220279818765,3.563717208426845,-0.1887848489112649,0.017604819555031348,7.156746843453466e-7,0.35346506183001386,22,2.849399924839038,5.972746578751777,train+val,1447848
E2,3,mid,1,29123,0.3604197863940695,4.284101425483609,5.2800821284689805,4.72811410391318,4.760508921449052,-0.5519680245558005,-0.03239481753587192,9.224109114688038e-17,0.0523858696832289,22,2.849399924839038,5.972746578751777,train+val,1447848
E2,3,high,2,28943,0.35819214633120056,8.376775341516776,7.596435147165754,5.934539073315009,5.876441327924946,-1.6618960738507447,0.058097745390063515,4.0095372665130756e-20,0.0185133883181743,22,2.849399924839038,5.972746578751777,train+val,1447848
E2,5,low,0,22120,0.28244547729710406,1.7807196881475114,4.321775057550796,3.9908437184464005,3.978385019733505,-0.3309313391043953,0.012458698712895622,3.767402466428034e-10,0.5411910477444534,22,2.851229146626511,5.972742875613165,train+val,1442881
E2,5,mid,1,28029,0.3578962153327545,4.285040182352763,5.77902445978926,5.005184525448944,5.008600587658394,-0.773839934340316,-0.0034160622094505655,5.133547770206506e-17,0.8199984794773689,22,2.851229146626511,5.972742875613165,train+val,1442881
E2,5,high,2,28167,0.3596583073701415,8.366256640199698,8.001808325754347,5.960935070393891,5.8391343165955725,-2.040873255360456,0.12180075379831834,1.6090895710519818e-24,0.0001340814920013161,22,2.851229146626511,5.972742875613165,train+val,1442881
E2,10,low,0,20970,0.2800854815012689,1.7898802059467718,5.088099038447433,4.534517424960448,4.478710375971378,-0.5535816134869851,0.055807048989070296,1.8534046014726533e-10,0.018038153651348986,22,2.8560193332119326,5.974546090993669,train+val,1430397
E2,10,mid,1,26878,0.3589955923600908,4.288891679593364,6.375991785789727,5.3383948244822506,5.253388051759967,-1.037596961307476,0.08500677272228341,8.613783094680185e-19,0.0004224666564243618,22,2.8560193332119326,5.974546090993669,train+val,1430397
E2,10,high,2,27022,0.3609189261386403,8.398613312797456,8.517983612182377,5.90366138309741,5.719315706161574,-2.6143222290849666,0.1843456769358367,1.7366089840178944e-26,2.8959414102204035e-7,22,2.8560193332119326,5.974546090993669,train+val,1430397
E4,1,low,0,25792,0.26234577319377905,0.7406205850817315,1.3405709424733228,1.9337554929533016,1.5145830394418232,0.5931845504799789,0.41917245351147847,2.949453653425062e-16,1.5366247268145448e-15,22,1.5736133096678546,4.598469592045048,train+val,1061873
E4,1,mid,1,36316,0.36939163691475185,3.0408759091821294,2.023175497086041,2.509053241131208,2.147232593560038,0.48587774404516715,0.3618206475711703,4.9323362703035536e-15,1.1538895603147122e-14,22,1.5736133096678546,4.598469592045048,train+val,1061873
E4,1,high,2,36205,0.3682625898914691,7.389659416917789,4.086138303812294,4.418880018906737,4.319275312571215,0.3327417150944436,0.09960470633552188,2.5930907707472e-6,7.873601001547266e-7,22,1.5736133096678546,4.598469592045048,train+val,1061873
E4,3,low,0,24205,0.26536496590435676,0.7376331417130909,2.6548373847430313,3.0251681753732624,2.8302301011285467,0.3703307906302311,0.19493807424471576,7.295609280558648e-9,3.3045912209745475e-9,22,1.5741128287383317,4.599803578790129,train+val,1059707
E4,3,mid,1,33636,0.3687591817045629,3.0392698714085964,3.530511017148511,3.5362744071506578,3.3886487107524155,0.005763390002146984,0.1476256963982423,0.8717665598964177,1.3276899150114385e-7,22,1.5741128287383317,4.599803578790129,train+val,1059707
