origin,corridor,horizon,metric,comparison,n,delta_loss,delta_mae,a_better,dm_stat_hac,dm_p_hac,dm_lag,dm_stat_clustered,dm_p_clustered,n_service_days,wilcoxon_p_two_sided,wilcoxon_p_one_sided,median_diff,win_rate,mean_median_disagree
r1,E4,3,RMSE,LSTM_vs_PERSIST,71061,-11.132494622534407,0.167136569759985,true,-28.182068770244065,8.828447093134845e-174,41,-18.794459115733158,3.5266434589981664e-14,21,1.2418396271734358e-21,1.0,0.44317429077727866,0.43407776417444166,true
r2,E4,3,RMSE,LSTM_vs_PERSIST,90733,-13.463184875863325,-0.016675046389120252,true,-35.83619526545516,2.740564618065732e-279,44,-21.75275937189298,6.946116677428393e-16,22,0.039859021040711894,0.019929510520355947,0.2796449777060843,0.4527349475934886,true
main,E4,5,RMSE,LSTM_vs_PERSIST,88673,-21.09010826365953,-0.5362521103888879,true,-41.08011099920192,0.0,44,-36.93205065282271,1.3704003559045464e-20,22,0.0,0.0,-0.1110841452027671,0.5141925952657517,false
r1,E4,5,RMSE,LSTM_vs_PERSIST,67922,-18.7496324984848,-0.2856712255449543,true,-31.25817930924984,5.6539398423249604e-213,40,-22.321838019517095,1.3138354817519113e-15,21,8.373860428110693e-130,4.1869302140553465e-130,0.07617429015772359,0.48886958570124556,true
r2,E4,5,RMSE,LSTM_vs_PERSIST,86816,-20.718639719398865,-0.520118437018115,true,-40.711616133320724,0.0,44,-27.152577628680806,7.698777263244089e-18,22,0.0,0.0,-0.07198885374145902,0.5098829708809436,false
main,E4,10,RMSE,LSTM_vs_PERSIST,83200,-35.35866990277183,-1.3805949149739283,true,-47.52998927938924,0.0,43,-35.849399105841,2.535983961957055e-20,22,0.0,0.0,-2.9312734491081756,0.5718870192307692,false
r1,E4,10,RMSE,LSTM_vs_PERSIST,62743,-34.10982836632404,-1.2146222338895252,true,-38.54842982430268,0.0,39,-27.554395220315556,2.211502711561079e-17,21,0.0,0.0,-2.0994482328824233,0.5562532872192913,false
r2,E4,10,RMSE,LSTM_vs_PERSIST,81429,-34.658593316658866,-1.3748409498529743,true,-47.06725003197947,0.0,43,-26.865662145804787,9.565597435921674e-18,22,0.0,0.0,-2.559997692259458,0.5703619103759103,false
main,E59,1,RMSE,LSTM_vs_PERSIST,240954,-8.348258093245338,0.3344579864573575,true,-46.09698507972455,0.0,62,-21.545356658442902,8.424251048066359e-16,22,0.0,1.0,0.6300657109368331,0.3716684512396557,true
r1,E59,1,RMSE,LSTM_vs_PERSIST,228443,-8.336191422032007,0.3743110311918824,true,-43.28788184388212,0.0,61,-19.308742738453212,7.56993495864133e-15,22,0.0,1.0,0.6767518980586829,0.3665903529545663,true
r2,E59,1,RMSE,LSTM_vs_PERSIST,241642,-7.500107234623592,0.40925720525341813,true,-41.14875245226493,0.0,62,-23.188511690062523,1.910361556291477e-16,22,0.0,1.0,0.6714452955525303,0.35687918490990805,true
main,E59,3,RMSE,LSTM_vs_PERSIST,229867,-15.03203813952138,-0.1857470490596442,true,-58.261949017670666,0.0,61,-34.49931252651045,5.606010932748165e-20,22,1.4723714583445386e-213,7.361857291722693e-214,0.20006890936110722,0.47253411755493396,true
r1,E59,3,RMSE,LSTM_vs_PERSIST,217786,-15.361410320630608,-0.133938907997849,true,-54.77227954714923,0.0,60,-25.709969528652714,2.346417647142422e-17,22,4.1145486017780896e-129,2.0572743008890448e-129,0.25010717856787323,0.46708236525763824,true
r2,E59,3,RMSE,LSTM_vs_PERSIST,231068,-14.536633725825217,-0.11995283729664757,true,-54.69612221198031,0.0,61,-31.90192260500432,2.816574219165818e-19,22,7.14058193953007e-108,3.570290969765035e-108,0.24502859948859168,0.46527429155053923,true
main,E59,5,RMSE,LSTM_vs_PERSIST,226572,-18.41500176371092,-0.4911341978967681,true,-61.683462969613316,0.0,60,-33.78448622652667,8.63726793951815e-20,22,0.0,0.0,-0.145094854576314,0.5157521670815458,false
r1,E59,5,RMSE,LSTM_vs_PERSIST,214447,-18.500469775266623,-0.4287974721874086,true,-58.38380441530028,0.0,59,-29.298488851060238,1.621014730478857e-18,22,0.0,0.0,-0.059215192859255694,0.5072208984038014,false
r2,E59,5,RMSE,LSTM_vs_PERSIST,227672,-17.71153999249475,-0.40533823547093856,true,-58.398420936279095,0.0,61,-39.65429074093984,3.140534267031214e-21,22,0.0,0.0,-0.040086513094138354,0.5060701359851014,false
main,E59,10,RMSE,LSTM_vs_PERSIST,219778,-26.856496916599312,-1.172537212121711,true,-68.26618556534983,0.0,60,-34.732444216918886,4.878012651956736e-20,22,0.0,0.0,-2.5094161626306004,0.5766637243036155,false
r1,E59,10,RMSE,LSTM_vs_PERSIST,207393,-26.299875396190632,-1.0461995146148835,true,-65.30962004204183,0.0,59,-31.570650955338884,3.4918925521004724e-19,22,0.0,0.0,-1.9772080719258156,0.5653517717570024,false
r2,E59,10,RMSE,LSTM_vs_PERSIST,220429,-26.11022106972084,-1.072812445496463,true,-67.9981611736641,0.0,60,-42.89174524154323,6.160386603167531e-22,22,0.0,0.0,-1.952660936240136,0.5676884620444679,false
