corridor,direction,baseline,metric,value,horizon,seed
E2,-1,LSTM,MAE,5.358884917231626,1,42
E2,-1,LSTM,RMSE,6.9247754633902145,1,42
E2,+1,LSTM,MAE,3.7971266955473775,1,42
E2,+1,LSTM,RMSE,5.372867302941353,1,42
E2,aggregate,LSTM,MAE,4.463865647406177,1,42
E2,aggregate,LSTM,RMSE,6.084020638897893,1,42
E2,-1,LSTM,MAE,5.356145891891714,1,123
E2,-1,LSTM,RMSE,6.916204399115174,1,123
E2,+1,LSTM,MAE,3.7988272489879917,1,123
E2,+1,LSTM,RMSE,5.370039676170773,1,123
E2,aggregate,LSTM,MAE,4.4636708753977405,1,123
E2,aggregate,LSTM,RMSE,6.078425188164369,1,123
E2,-1,LSTM,MAE,5.378818827201816,1,456
E2,-1,LSTM,RMSE,6.927370668377431,1,456
E2,+1,LSTM,MAE,3.80047800507587,1,456
E2,+1,LSTM,RMSE,5.370730619884003,1,456
E2,aggregate,LSTM,MAE,4.474296327789952,1,456
E2,aggregate,LSTM,RMSE,6.084200757585524,1,456
E2,-1,LSTM,MAE,5.353468269250825,1,789
E2,-1,LSTM,RMSE,6.913915109314223,1,789
E2,+1,LSTM,MAE,3.793504463525498,1,789
E2,+1,LSTM,RMSE,5.375145361340719,1,789
E2,aggregate,LSTM,MAE,4.4594773512144155,1,789
E2,aggregate,LSTM,RMSE,6.07989937552389,1,789
E2,-1,LSTM,MAE,5.373837405894392,1,999
E2,-1,LSTM,RMSE,6.939707028656231,1,999
E2,+1,LSTM,MAE,3.8048813585596113,1,999
E2,+1,LSTM,RMSE,5.375821521987143,1,999
E2,aggregate,LSTM,MAE,4.474693174491264,1,999
E2,aggregate,LSTM,RMSE,6.092773115867431,1,999
E59,-1,LSTM,MAE,3.4996208736916814,1,42
E59,-1,LSTM,RMSE,4.856015274486887,1,42
E59,+1,LSTM,MAE,3.094451483973678,1,42
E59,+1,LSTM,RMSE,4.339371600298271,1,42
E59,aggregate,LSTM,MAE,3.333578889928732,1,42
E59,aggregate,LSTM,RMSE,4.65123530803025,1,42
E59,-1,LSTM,MAE,3.499510727137929,1,123
E59,-1,LSTM,RMSE,4.859118670808815,1,123
E59,+1,LSTM,MAE,3.0855277582916427,1,123
E59,+1,LSTM,RMSE,4.332818027443102,1,123
E59,aggregate,LSTM,MAE,3.3298568610372485,1,123
E59,aggregate,LSTM,RMSE,4.650644374710997,1,123
E59,-1,LSTM,MAE,3.500903221236883,1,456
E59,-1,LSTM,RMSE,4.858735835856982,1,456
E59,+1,LSTM,MAE,3.0818644132493107,1,456
E59,+1,LSTM,RMSE,4.327477947754251,1,456
E59,aggregate,LSTM,MAE,3.329177427735197,1,456
E59,aggregate,LSTM,RMSE,4.648370155074104,1,456
E59,-1,LSTM,MAE,3.496371330393332,1,789
E59,-1,LSTM,RMSE,4.85392753509882,1,789
E59,+1,LSTM,MAE,3.096818693569062,1,789
E59,+1,LSTM,RMSE,4.342911197146945,1,789
E59,aggregate,LSTM,MAE,3.332631141426458,1,789
E59,aggregate,LSTM,RMSE,4.651303020603962,1,789
E59,-1,LSTM,MAE,3.4980363253209736,1,999
E59,-1,LSTM,RMSE,4.855467349030016,1,999
E59,+1,LSTM,MAE,3.082397404519175,1,999
E59,+1,LSTM,RMSE,4.336229160121852,1,999
E59,aggregate,LSTM,MAE,3.3277038355268775,1,999
E59,aggregate,LSTM,RMSE,4.649696436130911,1,999
