corridor,horizon,metric,comparison,join_coverage_pct,n,delta_loss,delta_mae,a_better,dm_stat_hac,dm_p_hac,dm_lag,dm_stat_clustered,dm_p_clustered,n_service_days,wilcoxon_p_two_sided,wilcoxon_p_one_sided,median_diff,win_rate,mean_median_disagree
E2,1,MAE,LSTM_vs_PERSIST,99.9878,90469,0.06672740313079395,0.06672740313079395,false,3.8283908979385157,0.0001290705938776694,44,1.9724268906667206,0.06187249017360758,22,2.249519380891783e-118,1.1247596904458914e-118,0.31777429580688477,0.44209618764438646,false
E2,3,MAE,LSTM_vs_PERSIST,99.9976,81695,-0.850855801410326,-0.850855801410326,true,-39.84917342797179,0.0,43,-29.979525796484197,1.011342259772393e-18,22,0.0,0.0,-0.38433408737182617,0.545296529775384,false
E2,5,MAE,LSTM_vs_PERSIST,99.9975,79150,-1.1085055299748068,-1.1085055299748068,true,-47.68927353194121,0.0,42,-39.19371789286295,4.001224741196028e-21,22,0.0,0.0,-0.6188064813613892,0.5639545167403663,false
E2,10,MAE,LSTM_vs_PERSIST,99.996,75747,-1.4727070925644836,-1.4727070925644836,true,-51.69906825921939,0.0,42,-58.60273958094461,9.249061005600624e-25,22,0.0,0.0,-0.957552433013916,0.5885117562411712,false
E4,1,MAE,LSTM_vs_PERSIST,99.9489,99829,0.46389245563259424,0.46389245563259424,false,36.509945849718974,6.389191707434726e-290,46,16.934044048738038,1.0155079527136052e-13,22,0.0,0.0,0.4604148864746094,0.3402217792425047,false
E4,3,MAE,LSTM_vs_PERSIST,99.974,92408,-0.06421358060985403,-0.06421358060985403,true,-3.339470266263146,0.000839715191606599,45,-1.37078963510736,0.18491490972059751,22,1.4710816852395947e-28,1.0,0.18541646003723145,0.45980867457363,true
E4,5,MAE,LSTM_vs_PERSIST,99.9797,88655,-0.5361716247372711,-0.5361716247372711,true,-21.1571905509923,4.171304566442652e-99,44,-11.065828922388862,3.196776202485974e-10,22,2.1975535829678423e-157,1.0987767914839211e-157,-0.08135223388671875,0.5141841971688004,false
E4,10,MAE,LSTM_vs_PERSIST,99.988,83190,-1.3805686909069965,-1.3805686909069965,true,-37.947594395164316,0.0,43,-28.419852292391862,3.026514440058063e-18,22,0.0,0.0,-0.6993842124938965,0.5719076812116841,false
E59,1,MAE,LSTM_vs_PERSIST,99.9805,240907,0.33437004892057515,0.33437004892057515,false,30.24680080303261,1.3696420679565102e-200,62,16.153790185099037,2.555874910533372e-13,22,0.0,0.0,0.48833465576171875,0.37166624465042525,false
E59,3,MAE,LSTM_vs_PERSIST,99.9822,229826,-0.1859414301186391,-0.1859414301186391,true,-12.557784811897308,3.7027992622825495e-36,61,-7.918334630588015,9.703925610574317e-8,22,0.09629096153827836,0.9518545192308608,0.15452909469604492,0.47255314890395345,true
E59,5,MAE,LSTM_vs_PERSIST,99.9854,226539,-0.49134174745697345,-0.49134174745697345,true,-29.759927701653456,3.065155252630726e-194,60,-30.535862860181005,6.931089405355416e-19,22,0.0,0.0,-0.10094833374023438,0.5157699115825531,false
E59,10,MAE,LSTM_vs_PERSIST,99.9895,219755,-1.1726907702328355,-1.1726907702328355,true,-57.9728669181055,0.0,60,-55.223581870509534,3.194593444810216e-24,22,0.0,0.0,-0.683436393737793,0.5766785738663511,false
E2,1,RMSE,LSTM_vs_PERSIST,99.9878,90469,-15.362290644160677,0.06672740313079395,true,-44.54124280373194,0.0,44,-27.215448160777896,7.343217156826633e-18,22,0.46867835014348724,0.7656608249282564,0.5506947301410037,0.44209618764438646,true
