corridor,horizon,rule,model,n_cells,base_rate,fire_rate,rate_ratio,cut_truth_min,cut_alarm_min,tp,fp,fn,precision,recall,f1,mcc,auc_published,jaccard_truth_vs_published
E2,1,pred_mean,LSTM,66634,0.2985863072905724,0.05075486988624426,0.1699839163650985,3.9259766208834623,3.981421379500672,2412,970,17484,0.7131874630396215,0.12123039806996382,0.2072342984792508,0.20948750056815796,0.7136689758888803,1.0
E2,1,pred_mean,Persistence,66634,0.2985863072905724,0.3027733589458835,1.0140229191797345,3.9259766208834623,3.8570418856107955,11643,8532,8253,0.5771003717472118,0.5851930036188179,0.5811185146365201,0.4010485128624551,0.7229959970889234,1.0
E2,3,pred_mean,LSTM,56594,0.30052655758560975,0.008817189101318162,0.02933913452492945,3.876469641516317,3.9206695044196973,333,166,16675,0.6673346693386774,0.019579021636876765,0.03804192608670818,0.07545709555769237,0.6294117719050688,1.0
E2,3,pred_mean,Persistence,56594,0.30052655758560975,0.3040251616779164,1.0116415804327377,3.876469641516317,3.8146986536652427,7084,10122,9924,0.41171684296175753,0.4165098777046096,0.4140994914362542,0.16028681387804755,0.5981227382916954,1.0
E2,5,pred_mean,LSTM,53865,0.30025062656641605,0.0023577462173953404,0.007852593829221542,3.8857580234775813,3.9209050016904246,86,41,16087,0.6771653543307087,0.005317504482779942,0.010552147239263805,0.03997523249733262,0.6036685484279967,1.0
E2,5,pred_mean,Persistence,53865,0.30025062656641605,0.3017543859649123,1.005008347245409,3.8857580234775813,3.7907574375658593,6085,10169,10088,0.37436938599729297,0.376244357880418,0.37530453017547105,0.10630106332344676,0.566751992653403,1.0
E2,10,pred_mean,LSTM,50356,0.3027444594487251,0.0002780204940821352,0.0009183338799606429,3.8913765695439935,3.915977103331023,10,4,15235,0.7142857142857143,0.0006559527714004591,0.0013107018808571989,0.014937505346829584,0.5654976520651522,1.0
E2,10,pred_mean,Persistence,50356,0.3027444594487251,0.2995472237667805,0.9894391603804525,3.8913765695439935,3.8116199467637446,5036,10048,10209,0.33386369663219306,0.3303378156772712,0.3320913976721949,0.044293303558623015,0.5283342910637369,1.0
E4,1,pred_mean,LSTM,73159,0.18317636927787423,0.08610013805546822,0.4700395492873666,5.50102517166146,5.303706683374601,4589,1710,8812,0.7285283378314018,0.34243713155734645,0.46588832487309645,0.43274357957393655,0.810881715868959,1.0
E4,1,pred_mean,Persistence,73159,0.18317636927787423,0.1896827458002433,1.0355197373330347,5.50102517166146,5.425408613085576,9358,4519,4043,0.6743532463789004,0.6983060965599582,0.6861206833345552,0.6143635116725165,0.8326249429897812,1.0
E4,3,pred_mean,LSTM,64677,0.17321458942127804,0.030010668398348716,0.1732571632598411,5.578494420636147,5.3117973521218875,1163,778,10040,0.5991756826378155,0.10381147906810675,0.17696287279367012,0.19798653342209688,0.7019927874044579,1.0
E4,3,pred_mean,Persistence,64677,0.17321458942127804,0.1840685251325819,1.0626617870213335,5.578494420636147,5.39778296055801,5620,6285,5583,0.47207055858882824,0.5016513433901634,0.4864116323351221,0.37509063486597854,0.7194453439973252,1.0
E4,5,pred_mean,LSTM,60366,0.17243150117615877,0.012225424908060828,0.07090018253434527,5.606378358104683,5.293315457917783,367,371,10042,0.497289972899729,0.0352579498510904,0.06584731317843366,0.09567246777661811,0.6475862372584797,1.0
E4,5,pred_mean,Persistence,60366,0.17243150117615877,0.18054865321538616,1.047074646940148,5.606378358104683,5.381551026784532,4063,6836,6346,0.3727864941737774,0.3903352867710635,0.381359113947813,0.24895762353396272,0.6486070661752872,1.0
E4,10,pred_mean,LSTM,54443,0.17930679793545543,0.002755175137299561,0.015365703749231715,5.637702227895634,5.2950929192160325,75,75,9687,0.5,0.007682851874615857,0.015133171912832932,0.04394147876888886,0.6044479043939524,1.0
E4,10,pred_mean,Persistence,54443,0.17930679793545543,0.17842514189151956,0.9950829748002459,5.637702227895634,5.329066715511466,2612,7102,7150,0.26889026147827877,0.2675681212866216,0.268227562127747,0.10882871695820827,0.5579006055267764,1.0
E59,1,pred_mean,LSTM,231742,0.212378420830061,0.06483071691795186,0.3052603775118354,4.4888653853892055,4.412664256131607,9879,5145,39338,0.6575479233226837,0.2007233273056058,0.30756059214520326,0.28658714287500936,0.7600809089461638,1.0
E59,1,pred_mean,Persistence,231742,0.212378420830061,0.21285308662219193,1.002235000101591,4.4888653853892055,4.4698785600602475,30554,18773,18663,0.6194173576337503,0.6208017554909889,0.6201087838934893,0.5175282200564424,0.7806905429812956,1.0
E59,3,pred_mean,LSTM,219911,0.20852526703984794,0.027597528090909505,0.13234620668600214,4.4913346667715395,4.4235759260718295,3370,2699,42487,0.5552809359037733,0.07348932551191749,0.1298001001425105,0.14379300648201207,0.6884813373872672,1.0
E59,3,pred_mean,Persistence,219911,0.20852526703984794,0.21087621810641577,1.0112741784242318,4.4913346667715395,4.448776082486772,21608,24766,24249,0.46595074826411353,0.4712039601369475,0.46856263078574456,0.32756304446214046,0.6889200704746722,1.0
E59,5,pred_mean,LSTM,216618,0.20799287224515045,0.018022509671403116,0.08664965042725559,4.4980243732942675,4.4055503424365074,2035,1869,43020,0.5212602459016393,0.04516701808900233,0.08313078289997752,0.10456425853162847,0.664853535928797,1.0
E59,5,pred_mean,Persistence,216618,0.20799287224515045,0.2102041381602637,1.0106314504494507,4.4980243732942675,4.436885962645068,18347,27187,26708,0.40292967892124565,0.40721340583730997,0.4050602170241421,0.2477811590161827,0.6477934277966022,1.0
E59,10,pred_mean,LSTM,209129,0.20789560510498306,0.0075216732256167245,0.03618004922142742,4.5230212078484655,4.385835399438619,777,796,42700,0.49396058486967576,0.017871518274029947,0.034495005549389564,0.061368787659827645,0.6320430377997587,1.0
E59,10,pred_mean,Persistence,209129,0.20789560510498306,0.20812512850919768,1.0011040320169284,4.5230212078484655,4.417921760863878,13185,30340,30292,0.3029293509477312,0.3032637946500448,0.3030964805406772,0.12005989539948994,0.5711573608070826,1.0
E2,1,obs_mean,LSTM,66634,0.30502446198637334,0.06163520124861182,0.20206642066420663,3.8570418856107955,3.8570418856107955,2962,1145,17363,0.7212076941806671,0.1457318573185732,0.24246889325474788,0.23166532784614863,0.7136689758888803,0.7586025971754624
E2,1,obs_mean,Persistence,66634,0.30502446198637334,0.3027733589458835,0.9926199261992619,3.8570418856107955,3.8570418856107955,11854,8321,8471,0.5875588599752168,0.5832226322263223,0.5853827160493827,0.4043813135269706,0.7229959970889234,0.7586025971754624
E2,3,obs_mean,LSTM,56594,0.31927412799943455,0.0286602820086935,0.08976700426144225,3.8146986536652427,3.8146986536652427,1126,496,16943,0.6942046855733662,0.06231667496817754,0.11436696968158042,0.13814574141304845,0.6294117719050688,0.6915991512345679
E2,3,obs_mean,Persistence,56594,0.31927412799943455,0.3040251616779164,0.9522386407659528,3.8146986536652427,3.8146986536652427,7472,9734,10597,0.4342671161222829,0.41352592838563285,0.4236428065201984,0.16302768509961424,0.5981227382916954,0.6915991512345679
E2,5,obs_mean,LSTM,53865,0.3235681797085306,0.02042142393019586,0.06311320213437374,3.7907574375658593,3.7907574375658593,722,378,16707,0.6563636363636364,0.04142521085547077,0.07793189054994873,0.10270837131725166,0.6036685484279967,0.6775836245631552
E2,5,obs_mean,Persistence,53865,0.3235681797085306,0.3017543859649123,0.9325836249928281,3.7907574375658593,3.7907574375658593,6500,9754,10929,0.39990156269226035,0.37294164897584486,0.3859513701273639,0.10726110828819138,0.566751992653403,0.6775836245631552
E2,10,obs_mean,LSTM,50356,0.33684168718722696,0.021943760425768528,0.06514561962032779,3.8116199467637446,3.8116199467637446,717,388,16245,0.648868778280543,0.04227095861337107,0.07937122931311232,0.09888818113798309,0.5654976520651522,0.6532518864534674
E2,10,obs_mean,Persistence,50356,0.33684168718722696,0.2995472237667805,0.8892819243013794,3.8116199467637446,3.8116199467637446,5434,9650,11528,0.3602492707504641,0.3203631647211414,0.3391374898583287,0.032387563347152766,0.5283342910637369,0.6532518864534674
E4,1,obs_mean,LSTM,73159,0.18395549419756968,0.09893519594308288,0.5378213701887353,5.425408613085576,5.425408613085576,4984,2254,8474,0.688588007736944,0.37033734581661465,0.4816389640510244,0.4315780221682042,0.810881715868959,0.830380264413248
E4,1,obs_mean,Persistence,73159,0.18395549419756968,0.1896827458002433,1.0311338980532025,5.425408613085576,5.425408613085576,9437,4440,4021,0.6800461194782734,0.701218606033586,0.6904700932869948,0.6194896951064347,0.8326249429897812,0.830380264413248
E4,3,obs_mean,LSTM,64677,0.17247243997093248,0.046028727368307126,0.2668758404303003,5.39778296055801,5.39778296055801,1656,1321,9499,0.5562646960026872,0.14845360824742268,0.23436173223889045,0.22314746416012338,0.7019927874044579,0.7286222359672182
E4,3,obs_mean,Persistence,64677,0.17247243997093248,0.1840685251325819,1.0672344240251008,5.39778296055801,5.39778296055801,5478,6427,5677,0.4601427971440571,0.4910802330793366,0.4751084128360798,0.3616653885133288,0.7194453439973252,0.7286222359672182
E4,5,obs_mean,LSTM,60366,0.1749660404863665,0.02892356624590001,0.1653096004544594,5.381551026784532,5.381551026784532,873,873,9689,0.5,0.0826548002272297,0.14185895352616185,0.14764378036147097,0.6475862372584797,0.6868564993564994
E4,5,obs_mean,Persistence,60366,0.1749660404863665,0.18054865321538616,1.0319068358265482,5.381551026784532,5.381551026784532,3972,6927,6590,0.3644371043214974,0.37606513917818596,0.3701598247984717,0.23408071702603928,0.6486070661752872,0.6868564993564994
E4,10,obs_mean,LSTM,54443,0.1851477692265305,0.01370240434950315,0.07400793650793651,5.329066715511466,5.329066715511466,392,354,9688,0.5254691689008043,0.03888888888888889,0.07241825235544061,0.10327257117728751,0.6044479043939524,0.6598628074284758
E4,10,obs_mean,Persistence,54443,0.1851477692265305,0.17842514189151956,0.9636904761904761,5.329066715511466,5.329066715511466,2697,7017,7383,0.2776405188387894,0.2675595238095238,0.27250682024856016,0.11097201557152521,0.5579006055267764,0.6598628074284758
E59,1,obs_mean,LSTM,231742,0.21635266805326614,0.07336175574561365,0.33908412780725194,4.4698785600602475,4.4698785600602475,10870,6131,39268,0.6393741544615023,0.21680162750807772,0.3238058356543887,0.2890684659583638,0.7600809089461638,0.8256068206456829
E59,1,obs_mean,Persistence,231742,0.21635266805326614,0.21285308662219193,0.983824643982608,4.4698785600602475,4.4698785600602475,30813,18514,19325,0.6246680317067732,0.6145638039012326,0.61957472477756,0.515663440485662,0.7806905429812956,0.8256068206456829
E59,3,obs_mean,LSTM,219911,0.2141684590584373,0.03767887918294219,0.17593103741135502,4.448776082486772,4.448776082486772,4637,3649,42461,0.5596186338402124,0.0984542868062338,0.1674490827675863,0.16662183446984888,0.6884813373872672,0.7568180529568521
E59,3,obs_mean,Persistence,219911,0.2141684590584373,0.21087621810641577,0.9846277973586988,4.448776082486772,4.448776082486772,21742,24632,25356,0.4688402984430931,0.4616331903690178,0.4652088325915782,0.32090735957402106,0.6889200704746722,0.7568180529568521
E59,5,obs_mean,LSTM,216618,0.2151667913100481,0.030191396836827963,0.14031624793494818,4.436885962645068,4.436885962645068,3506,3034,43103,0.536085626911315,0.0752215237400502,0.13193098647199383,0.13778993255990266,0.664853535928797,0.7308810755693191
E59,5,obs_mean,Persistence,216618,0.2151667913100481,0.2102041381602637,0.9769357849342403,4.436885962645068,4.436885962645068,18509,27025,28100,0.40648745992005975,0.397112145722929,0.40174511357346726,0.2401866066184452,0.6477934277966022,0.7308810755693191
E59,10,obs_mean,LSTM,209129,0.21577112691209732,0.022168135457062386,0.10273911887244037,4.417921760863878,4.417921760863878,2381,2255,42743,0.5135893011216566,0.052765712259551456,0.09569935691318326,0.10900981650121008,0.6320430377997587,0.6845577610464674
E59,10,obs_mean,Persistence,209129,0.21577112691209732,0.20812512850919768,0.964564311674497,4.417921760863878,4.417921760863878,13537,29988,31587,0.31101665709362436,0.2999955677688148,0.30540671637581923,0.11870267431162711,0.5711573608070826,0.6845577610464674
E2,1,rank,LSTM,66634,0.27745595341717444,0.27745595341717444,1.0,2.4764108504840268,5.219643071640453,8864,9624,9624,0.47944612721765467,0.47944612721765467,0.47944612721765467,0.2795541320363312,0.7136689758888803,0.6278892234615547
E2,1,rank,Persistence,66634,0.27745595341717444,0.27745595341717444,1.0,2.4764108504840268,2.368354038273075,9965,8523,8523,0.5389982691475552,0.5389982691475552,0.5389982691475552,0.3619742173052422,0.7229959970889234,0.6278892234615547
E2,3,rank,LSTM,56594,0.31777220200021206,0.31777220200021206,1.0,2.8081555083248184,6.187648812578724,7790,10194,10194,0.43316281138790036,0.43316281138790036,0.43316281138790036,0.16913794736303633,0.6294117719050688,0.6433569717747617
E2,3,rank,Persistence,56594,0.31777220200021206,0.31777220200021206,1.0,2.8081555083248184,2.7404358230488297,7572,10412,10412,0.4210409252669039,0.4210409252669039,0.4210409252669039,0.15136985559583424,0.5981227382916954,0.6433569717747617
E2,5,rank,LSTM,53865,0.31824004455583405,0.31824004455583405,1.0,2.7996241152391654,6.54001542445202,7038,10104,10104,0.41057052852642634,0.41057052852642634,0.4105705285264263,0.1354296086669377,0.6036685484279967,0.6495840760546643
E2,5,rank,Persistence,53865,0.31824004455583405,0.31824004455583405,1.0,2.7996241152391654,2.721900328029157,6584,10558,10558,0.3840858709602147,0.3840858709602147,0.3840858709602147,0.09658212671274034,0.566751992653403,0.6495840760546643
E2,10,rank,LSTM,50356,0.3172809595678767,0.3172809595678767,1.0,2.7639467455195192,6.818674799967763,6032,9945,9945,0.3775427176566314,0.3775427176566314,0.37754271765663144,0.08826728788845897,0.5654976520651522,0.6489041457618168
E2,10,rank,Persistence,50356,0.3172809595678767,0.3172809595678767,1.0,2.7639467455195192,2.7497735044615124,5523,10454,10454,0.3456844213556988,0.3456844213556988,0.3456844213556988,0.04160344168787834,0.5283342910637369,0.6489041457618168
E4,1,rank,LSTM,73159,0.25351631378230977,0.25351631378230977,1.0,4.618299358921778,6.060490179922893,11807,6740,6740,0.6365989108750741,0.6365989108750741,0.6365989108750741,0.513182811849219,0.810881715868959,0.5060576061848866
E4,1,rank,Persistence,73159,0.25351631378230977,0.25351631378230977,1.0,4.618299358921778,4.432046101042094,13310,5237,5237,0.7176362754084219,0.7176362754084219,0.7176362754084219,0.621741600245454,0.8326249429897812,0.5060576061848866
E4,3,rank,LSTM,64677,0.2589946967237194,0.2589946967237194,1.0,4.872592912135427,7.000380224974926,8271,8480,8480,0.4937615664736434,0.4937615664736434,0.4937615664736434,0.3168221181574893,0.7019927874044579,0.48770622671633845
E4,3,rank,Persistence,64677,0.2589946967237194,0.2589946967237194,1.0,4.872592912135427,4.530946203955181,9151,7600,7600,0.5462957435376993,0.5462957435376993,0.5462957435376993,0.3877179360845423,0.7194453439973252,0.48770622671633845
E4,5,rank,LSTM,60366,0.261637345525627,0.261637345525627,1.0,4.917886650886545,7.53518972349298,6865,8929,8929,0.43465873116373305,0.43465873116373305,0.434658731163733,0.2343311712606549,0.6475862372584797,0.4897379043720507
