corridor,direction,baseline,metric,value,horizon
E2,-1,LSTM,MAE,6.287618576210402,10
E2,-1,LSTM,RMSE,7.892028496938068,10
E2,+1,LSTM,MAE,4.307501880781745,10
E2,+1,LSTM,RMSE,6.166114538825069,10
E2,aggregate,LSTM,MAE,5.152889579856768,10
E2,aggregate,LSTM,RMSE,6.9555614467722044,10
E59,-1,LSTM,MAE,4.222666066629016,10
E59,-1,LSTM,RMSE,5.638552102032942,10
E59,+1,LSTM,MAE,4.227265771892501,10
E59,+1,LSTM,RMSE,5.4910256071667805,10
E59,aggregate,LSTM,MAE,4.224551099991347,10
E59,aggregate,LSTM,RMSE,5.578565192823739,10
