corridor,horizon,n_cells,base_rate,n_unprofiled,auc_null,ap_lift_null,auc_persist,ap_lift_persist,auc_lstm,ap_lift_lstm,null_beats_lstm,null_beats_persist
E2,1,66634,0.2985863072905724,0,0.5873112680482564,1.18255172282,0.7229959970889234,1.771527370076091,0.7136689758888803,1.765960186339969,false,false
E2,3,56594,0.30052655758560975,0,0.5795417238871521,1.1571329943091722,0.5981227382916954,1.2738113942753793,0.6294117719050688,1.416256814884289,false,false
E2,5,53865,0.30025062656641605,1,0.5824222701430294,1.171596313567427,0.566751992653403,1.1725264687928276,0.6036685484279967,1.3222871261363542,false,true
E2,10,50356,0.3027444594487251,2,0.578622195445121,1.1609692247600327,0.5283342910637369,1.0786031174878201,0.5654976520651522,1.1921642383734246,true,true
E4,1,73159,0.18317636927787423,1,0.522544903124193,1.0490508534142666,0.8326249429897812,3.359436776704197,0.810881715868959,3.1623259454738344,false,false
E4,3,64677,0.17321458942127804,0,0.5201793474878267,1.037740986624185,0.7194453439973252,2.3506081520325237,0.7019927874044579,2.1434506080577957,false,false
E4,5,60366,0.17243150117615877,0,0.5194826730544422,1.0462697527835714,0.6486070661752872,1.7391120639704687,0.6475862372584797,1.710600123772855,false,false
E4,10,54443,0.17930679793545543,0,0.5211048593828616,1.0527927803633632,0.5579006055267764,1.2433402895836163,0.6044479043939524,1.4479170143367717,false,false
E59,1,231742,0.212378420830061,0,0.4979178228552628,1.023573003120118,0.7806905429812956,2.5573856499067973,0.7600809089461638,2.3234388932094237,false,false
E59,3,219911,0.20852526703984794,0,0.4934928343647888,1.0042798102522175,0.6889200704746722,1.8907760535852989,0.6884813373872672,1.807573836783875,false,false
E59,5,216618,0.20799287224515045,0,0.492016839854711,1.0001049670384599,0.6477934277966022,1.625179389426763,0.664853535928797,1.6548334164997827,false,false
E59,10,209129,0.20789560510498306,0,0.4860649464285651,0.9891496054285647,0.5711573608070826,1.2632498980844458,0.6320430377997587,1.4847203497893313,false,false
