corridor,direction,baseline,metric,value,horizon
E2,-1,LSTM_CONTIG,MAE,5.204363578511943,1
E2,-1,LSTM_CONTIG,RMSE,6.796340148264368,1
E2,+1,LSTM_CONTIG,MAE,3.738985204617735,1
E2,+1,LSTM_CONTIG,RMSE,5.2784575508017335,1
E2,aggregate,LSTM_CONTIG,MAE,4.432762064895638,1
E2,aggregate,LSTM_CONTIG,RMSE,6.04478976909742,1
E59,-1,LSTM_CONTIG,MAE,3.569918480970241,1
E59,-1,LSTM_CONTIG,RMSE,4.983049860426569,1
E59,+1,LSTM_CONTIG,MAE,2.996343933060653,1
E59,+1,LSTM_CONTIG,RMSE,4.329981279998554,1
E59,aggregate,LSTM_CONTIG,MAE,3.315201574154772,1
E59,aggregate,LSTM_CONTIG,RMSE,4.7042351599864505,1
