corridor,direction,baseline,metric,value,horizon
E2,-1,LSTM_CONTIG,MAE,5.837707102863573,3
E2,-1,LSTM_CONTIG,RMSE,7.32214201467822,3
E2,+1,LSTM_CONTIG,MAE,4.1666603034918515,3
E2,+1,LSTM_CONTIG,RMSE,5.685943852223698,3
E2,aggregate,LSTM_CONTIG,MAE,4.957321017577486,3
E2,aggregate,LSTM_CONTIG,RMSE,6.511563028028033,3
E59,-1,LSTM_CONTIG,MAE,3.9504706584369007,3
E59,-1,LSTM_CONTIG,RMSE,5.2915180876149455,3
E59,+1,LSTM_CONTIG,MAE,3.6705602354678395,3
E59,+1,LSTM_CONTIG,RMSE,4.927773444000889,3
E59,aggregate,LSTM_CONTIG,MAE,3.826194929498133,3
E59,aggregate,LSTM_CONTIG,RMSE,5.133203779464776,3
