corridor,direction,baseline,metric,value,horizon
E2,-1,SpatialConvLSTM,MAE,5.352237553142489,1
E2,-1,SpatialConvLSTM,RMSE,6.9177051641333485,1
E2,+1,SpatialConvLSTM,MAE,3.802228005199714,1
E2,+1,SpatialConvLSTM,RMSE,5.379757111868378,1
E2,aggregate,SpatialConvLSTM,MAE,4.463951264931935,1
E2,aggregate,SpatialConvLSTM,RMSE,6.0840760032439665,1
E59,-1,SpatialConvLSTM,MAE,3.493762157191308,1
E59,-1,SpatialConvLSTM,RMSE,4.854626390146958,1
E59,+1,SpatialConvLSTM,MAE,3.0917564114411915,1
E59,+1,SpatialConvLSTM,RMSE,4.3401334201633555,1
E59,aggregate,SpatialConvLSTM,MAE,3.329016662584939,1
E59,aggregate,SpatialConvLSTM,RMSE,4.650670892726227,1
