corridor,horizon,model,cut_mcc_r1,cut_mcc_r2,cut_mcc_main,spread_mcc,std_mcc,mcc_on_main_fit_r1_mcc,mcc_on_main_fit_r2_mcc,mcc_spread_mcc,cut_f1_r1,cut_f1_r2,cut_f1_main,spread_f1,std_f1,mcc_on_main_fit_r1_f1,mcc_on_main_fit_r2_f1,mcc_spread_f1
E2,1,LSTM,-0.7551032517859807,-0.8012548331527406,-0.8187259193236094,0.06362266753762869,0.026839132166890222,0.30869599133044046,0.310425424767755,0.0017294334373145204,-0.9055287219743623,-0.9121226457827929,-0.9079353973336788,0.006593923808430602,0.002724476851946639,0.2989278899426005,0.29761022503464857,0.001317664907951932
E2,1,Persistence,-0.46189389275668474,-0.46461377309624025,-0.4905520446560511,0.02865815189936638,0.012916317633388099,0.40114358287874924,0.4010895389715307,0.000054043907218526144,-0.5435746102553013,-0.5309626954869977,-0.5244134186703727,0.019161191584928572,0.007951971690496173,0.3909824359741269,0.3949355043610817,0.0039530683869548056
E2,3,LSTM,-0.8607751585229909,-0.8711662170927149,-0.9081659227984319,0.04739076427544098,0.020338351454878736,0.17852977215057225,0.17788061397157506,0.000649158178997189,-1.0814778794329354,-1.0923009336344007,-1.1051680207939403,0.02369014136100489,0.0096834522765124,0.14620501217114668,0.14420800677859474,0.0019970053925519315
E2,3,Persistence,-0.5202659150843443,-0.5064512609745158,-0.47037886548811286,0.049887049596231414,0.02103114120039486,0.159486113276488,0.15984358360522005,0.0003574703287320402,-1.4497344793083309,-4.863025142310932,-5.015707491582527,3.5659730122741955,1.6462087276253121,0.08504794578769871,-0.0005209828772743171,0.08556892866497302
E2,5,LSTM,-0.9201308822065931,-0.9129542926641381,-0.8924598270780317,0.027671055128561384,0.011724683597004775,0.13804906306753834,0.1389945393219241,0.0009454762543857631,-1.1729584362258405,-1.1308219832048383,-1.1385475137587473,0.04213645302100222,0.018315979909985125,0.09673052354589426,0.10719122314965927,0.010460699603765014
E2,5,Persistence,-0.4727293186448483,-0.5970283088574424,-0.5087568724828991,0.12429899021259411,0.05221756843890894,0.10716461216468051,0.1019081407175733,0.005256471447107211,-4.186839285781766,-5.2014646806501075,-4.857633961659456,1.0146253948683412,0.42132723524321475,0.000858174276790013,0.0,0.000858174276790013
E2,10,LSTM,-0.9068832607345135,-0.903429480040722,-0.9600944882890415,0.05666500824831955,0.025936431902983045,0.08622865475842237,0.0851024132299448,0.0011262415284775673,-1.316479457375064,-1.3947567037340118,-1.3864773117215892,0.07827724635894784,0.035111845488938996,0.03510960334773723,0.024623096072782295,0.010486507274954936
E2,10,Persistence,-0.38500952044905473,-1.2017755613883243,-0.3381450535451196,0.8636305078432047,0.3965350899377297,0.04495572995918784,0.027343026222662332,0.017612703736525508,-4.688297382229732,-3.8668146984115435,-3.8268672289800802,0.8614301532496516,0.39700147061787927,-0.006762956358315587,0.004541307032681709,0.011304263390997295
E4,1,LSTM,-0.5833113969596991,-0.5842640937600709,-0.6068643415490456,0.023552944589346425,0.010885362394545735,0.4748590229683678,0.47562988670729883,0.000770863738931038,-0.5943346402533543,-0.6156947060990258,-0.6265949840947566,0.032260343841402306,0.013398997715754462,0.4775960292758482,0.47589215354372966,0.0017038757321185538
E4,1,Persistence,-0.4939445114401316,-0.4944711975286208,-0.48831925878022026,0.006151938748400532,0.0027842257269545295,0.6156676894238647,0.6154410964369871,0.0002265929868776606,-0.5058002744644418,-0.4944711975286208,-0.49355795292774807,0.01224232153669369,0.005568327462099748,0.6126048467973598,0.6154410964369871,0.002836249639627253
E4,3,LSTM,-0.730440225008698,-0.6805234066140571,-0.6914842964709582,0.049916818394640905,0.02142012094928029,0.2685317055050193,0.2690353901658328,0.0005036846608134637,-0.7503974198836691,-0.7650258234762067,-0.7498041284873908,0.015221694988815981,0.007039903603187966,0.26627005381487917,0.2624529630657678,0.0038170907491113515
