corridor,horizon,model,absolute_ratio,cut_minutes,n_cells,base_rate_relative,fire_rate_relative,underfire_relative,f1_relative,mcc_relative,base_rate_absolute,fire_rate_absolute,underfire_absolute,f1_absolute,trivial_f1_absolute,mcc_absolute,auc_absolute
E2,1,LSTM,0.25,1.44624478981504,66634,0.2985863072905724,0.05075486988624426,0.1699839163650985,0.2072342984792508,0.20948750056815796,0.13866794729417414,0.0004051985472881712,0.002922077922077922,0.002589834898025251,0.24356169438806444,0.017813641129685143,0.6454461609031338
E2,1,Persistence,0.25,1.44624478981504,66634,0.2985863072905724,0.3027733589458835,1.0140229191797345,0.5811185146365201,0.4010485128624551,0.13866794729417414,0.15080889635921602,1.0875541125541126,0.42117268909741296,0.24356169438806444,0.3238068073356652,0.6856486207134794
E2,3,LSTM,0.25,1.449747259972327,56594,0.30052655758560975,0.008817189101318162,0.02933913452492945,0.03804192608670818,0.07545709555769237,0.14899105912287522,0.00007067887055164858,0.00047438330170777984,0.0007112375533428165,0.2593424168794021,0.014190376435131864,0.5821561167255958
E2,3,Persistence,0.25,1.449747259972327,56594,0.30052655758560975,0.3040251616779164,1.0116415804327377,0.4140994914362542,0.16028681387804755,0.14899105912287522,0.15266636039156095,1.0246679316888045,0.2825679475164012,0.2593424168794021,0.1551768386286097,0.5964850075689362
E2,5,LSTM,0.25,1.4543347163462854,53865,0.30025062656641605,0.0023577462173953404,0.007852593829221542,0.010552147239263805,0.03997523249733262,0.15082149818991925,0.0,0.0,0.0,0.26211101969704304,0.0,0.5504824780838736
E2,5,Persistence,0.25,1.4543347163462854,53865,0.30025062656641605,0.3017543859649123,1.005008347245409,0.37530453017547105,0.10630106332344676,0.15082149818991925,0.15260373155109996,1.0118168389955686,0.23886441507586884,0.26211101969704304,0.10274653084621034,0.5638418417805534
E2,10,LSTM,0.25,1.4563912930770015,50356,0.3027444594487251,0.0002780204940821352,0.0009183338799606429,0.0013107018808571989,0.014937505346829584,0.15507585987767097,0.0,0.0,0.0,0.26851199174761453,0.0,0.4933936895373662
E2,10,Persistence,0.25,1.4563912930770015,50356,0.3027444594487251,0.2995472237667805,0.9894391603804525,0.3320913976721949,0.044293303558623015,0.15507585987767097,0.1511041385336405,0.9743885260596749,0.18407056686989234,0.26851199174761453,0.03661430636254964,0.5216354140559594
E4,1,LSTM,0.25,2.3914889573356755,73159,0.18317636927787423,0.08610013805546822,0.4700395492873666,0.46588832487309645,0.43274357957393655,0.06615727388291257,0.0027064339315736956,0.04090909090909091,0.046843985708614526,0.12410415518147669,0.11103896190951056,0.7275481201519512
E4,1,Persistence,0.25,2.3914889573356755,73159,0.18317636927787423,0.1896827458002433,1.0355197373330347,0.6861206833345552,0.6143635116725165,0.06615727388291257,0.07491901201492639,1.1324380165289254,0.5606045925782387,0.12410415518147669,0.5285772570758535,0.7723990407058574
