corridor,horizon,n,pearson_r,spearman_rho,r2,frac_highexante_stable,frac_highexante_moderate,frac_highexante_high,lift_high
E2,3,593854,0.27446658094989884,0.23821664744356136,0.07533190405832738,0.1590039959383888,0.19012280816969857,0.6508731958919126,1.1534989342298019
E2,5,578881,0.26557282364351076,0.23707632507369725,0.07052892465798727,0.132799543946932,0.1734815505804312,0.6937189054726368,1.1348671743639533
E2,10,561124,0.252842471088052,0.22793176384080555,0.06392931518591242,0.11251543779171412,0.1717805187098016,0.7157040434984843,1.1110122684919217
E59,3,2161259,0.26958819866507194,0.17779265624663673,0.0726777968594783,0.3487424002665112,0.18776130590488882,0.46349629382859997,1.2027022760170514
E59,5,2133097,0.24600820038906304,0.16985830442737787,0.0605200346586654,0.27279810526789533,0.21327409482661627,0.5139277999054884,1.1523266037538487
E59,10,2078530,0.22605163599257455,0.16687236336225494,0.05109934213491943,0.17407777331943872,0.22091294595819488,0.6050092807223664,1.1118970060928384
E4,3,529191,0.25819989952784306,0.26513183045133165,0.06666718811618826,0.25021826139211084,0.21415694411374536,0.5356247944941438,1.3067290291228342
E4,5,509016,0.24477541586605528,0.24468988768161315,0.05991500421240031,0.19168749115941347,0.15709132915271817,0.6512211796878684,1.2227070692167243
E4,10,481382,0.22620650696828823,0.21825670617145088,0.05116938379479423,0.12494079521376043,0.16109933939922721,0.7139598653870124,1.1418111106229551
