corridor,horizon,direction,n_lstm_own,n_xgb_own,n_paired,retained_lstm_pct,retained_xgb_pct,max_pair_rank_lstm,max_pair_rank_xgb,mae_lstm_own,mae_lstm_paired,framing_delta_lstm,mae_xgb_own,mae_xgb_paired,framing_delta_xgb,mae_persist_paired,rmse_lstm_paired,rmse_xgb_paired,rmse_persist_paired,delta_lstm_persist,delta_lstm_xgb,delta_xgb_persist
E2,1,+1,45383,45383,45383,100.0,100.0,15,15,3.4615917162994703,3.4615917162994703,0.0,3.4587013485621565,3.458701412346218,6.378406158802363e-8,3.4461223501722347,5.006385469207325,5.076935676357473,6.018998301967589,0.015469366127235595,0.0028903039532521824,0.012579062173983413
E2,1,-1,45097,45086,45086,99.975608,100.0,13,11,4.9338016027113945,4.933361963810548,-0.00043963890084608437,4.870989797773701,4.870989710202272,-8.757142921922423e-8,4.815038865933437,6.558032318356665,6.58958194547451,7.911736662512549,0.11832309787711104,0.06237225360827647,0.055950844268834565
E2,1,aggregate,90480,90469,90469,99.987843,100.0,15,15,4.195369891006792,4.1950610083142434,-0.0003088826925488064,4.162527377601404,4.162527365956162,-1.1645242103952569e-8,4.128333605183449,5.831499613536837,5.87962294039188,7.026284821073009,0.06672740313079473,0.032533642358081316,0.03419376077271341
E2,3,+1,40620,40620,40620,100.0,100.0,15,15,3.965549845527628,3.965549845527628,0.0,4.050420254674831,4.050420323244636,6.856980494518439e-8,4.824869959762917,5.476545630884125,5.575688471812066,7.1438815982221255,-0.8593201142352886,-0.08487047771700817,-0.7744496365182805
E2,3,-1,41077,41075,41075,99.995131,100.0,12,11,5.70118722309228,5.700860901401309,-0.00032632169097102093,5.587252760420602,5.587252671421118,-8.899948422680382e-8,6.543346151699036,7.1989824264854345,7.158052716549308,9.29491575067707,-0.8424852502977274,0.1136082299801906,-0.956093480277918
E2,3,aggregate,81697,81695,81695,99.997552,100.0,15,15,4.838222973772523,4.83803777771456,-0.00018519605796285532,4.823116199022803,4.823116188369173,-1.0653629978207846e-8,5.688893579124886,6.400761583596522,6.420211940801585,8.295403630907705,-0.8508558014103258,0.014921589345386899,-0.8657773907557127
E2,5,+1,38932,38932,38932,100.0,100.0,16,16,4.140608415070362,4.140608415070362,0.0,4.218425997088461,4.21842606792981,7.084134878709847e-8,5.247950179994774,5.673639137102388,5.753743094078105,7.479767707405876,-1.1073417649244117,-0.07781765285944786,-1.0295241120649639
E2,5,-1,40220,40218,40218,99.995027,100.0,12,11,5.960513549014622,5.960585062990753,0.00007151397613114341,5.792779664579316,5.792779577016131,-8.756318514713257e-8,7.070217145776291,7.387714111340213,7.296941786419897,9.66594082277267,-1.109632082785538,0.16780548597462186,-1.2774375687601598
E2,5,aggregate,79152,79150,79150,99.997473,100.0,16,16,5.06536817461198,5.0653818936055774,0.000013718993597144902,5.018392589623486,5.0183925799757185,-9.647767917897454e-9,6.173887423580384,6.600464190784588,6.583241719127084,8.65986012632424,-1.1085055299748063,0.04698931362985892,-1.1554948436046653
E2,10,+1,37145,37145,37145,100.0,100.0,14,14,4.305232637922477,4.305232637922477,0.0,4.374429146814834,4.374429216402859,6.958802512002649e-8,5.772347833369234,5.923513345117368,5.94310676112542,8.005347286251041,-1.4671151954467572,-0.06919657848038252,-1.3979186169663746
