corridor,direction,baseline,metric,value,horizon
E2,-1,SpatialTransformer,MAE,6.198173149741716,5
E2,-1,SpatialTransformer,RMSE,7.789432319840189,5
E2,+1,SpatialTransformer,MAE,4.243915137855064,5
E2,+1,SpatialTransformer,RMSE,6.036992015079103,5
E2,aggregate,SpatialTransformer,MAE,5.07825827018229,5
E2,aggregate,SpatialTransformer,RMSE,6.840316158508854,5
E59,-1,SpatialTransformer,MAE,4.101099903481449,5
E59,-1,SpatialTransformer,RMSE,5.4677424498655105,5
E59,+1,SpatialTransformer,MAE,4.052018565680404,5
E59,+1,SpatialTransformer,RMSE,5.291835929091618,5
E59,aggregate,SpatialTransformer,MAE,4.080985785169099,5
E59,aggregate,SpatialTransformer,RMSE,5.396347341905516,5
