corridor,horizon,n,max_abs_diff_target,max_abs_diff_persist,tolerance,passed
E2,3,599117,2.614763175756707e-6,2.60873371615844e-6,0.01,true
E2,5,583733,2.614763175756707e-6,2.614763175756707e-6,0.01,true
E2,10,566186,2.614763175756707e-6,2.614763175756707e-6,0.01,true
E59,3,2169833,2.325037925743345e-6,2.325037925743345e-6,0.01,true
E59,5,2142718,2.325037925743345e-6,2.321166526542129e-6,0.01,true
E59,10,2088148,2.325037925743345e-6,2.321166526542129e-6,0.01,true
E4,3,535061,2.643510004673999e-6,2.6451516177417034e-6,0.01,true
E4,5,514587,2.643510004673999e-6,2.6610296472995287e-6,0.01,true
E4,10,487011,2.643510004673999e-6,2.6610296472995287e-6,0.01,true
