corridor,hidden_size,num_layers,dropout,lr,mae,rmse,role
E2,32,1,0.2,0.0005,5.137914758307008,6.924899084167939,neighbor
E2,32,1,0.0,0.0005,5.162738496743066,6.9624359568320715,winner
E2,64,1,0.0,0.0005,5.165018664470736,6.961000135492467,neighbor
E2,32,1,0.0,0.001,5.147137372512571,6.968377130085696,neighbor
E59,32,2,0.2,0.0005,4.224551099991347,5.578565192823739,winner
E59,32,2,0.0,0.0005,4.24430303774583,5.599700695250488,neighbor
E59,32,2,0.2,0.001,4.256697893553247,5.622494883040469,neighbor
E59,64,2,0.2,0.0005,4.26406530310683,5.625017528232254,neighbor
