corridor,direction,baseline,metric,value,horizon,seed
E2,-1,LSTM,MAE,6.114451388900674,5,42
E2,-1,LSTM,RMSE,7.672360703248007,5,42
E2,+1,LSTM,MAE,4.239636207776289,5,42
E2,+1,LSTM,RMSE,5.9661959169789744,5,42
E2,aggregate,LSTM,MAE,5.040062334336635,5,42
E2,aggregate,LSTM,RMSE,6.747602148786223,5,42
E2,-1,LSTM,MAE,6.142806540623208,5,123
E2,-1,LSTM,RMSE,7.677293776531987,5,123
E2,+1,LSTM,MAE,4.249048943314605,5,123
E2,+1,LSTM,RMSE,5.979425369564759,5,123
E2,aggregate,LSTM,MAE,5.05756226959825,5,123
E2,aggregate,LSTM,RMSE,6.756702330184627,5,123
E2,-1,LSTM,MAE,6.130724476939274,5,456
E2,-1,LSTM,RMSE,7.649911148969368,5,456
E2,+1,LSTM,MAE,4.2446046543538545,5,456
E2,+1,LSTM,RMSE,5.970630807304332,5,456
E2,aggregate,LSTM,MAE,5.049857139516322,5,456
E2,aggregate,LSTM,RMSE,6.738962475368472,5,456
E2,-1,LSTM,MAE,6.128650722533825,5,789
E2,-1,LSTM,RMSE,7.650231036670363,5,789
E2,+1,LSTM,MAE,4.245782754798515,5,789
E2,+1,LSTM,RMSE,5.976022793877619,5,789
E2,aggregate,LSTM,MAE,5.049646906002513,5,789
E2,aggregate,LSTM,RMSE,6.741855783888987,5,789
E2,-1,LSTM,MAE,6.128499317688453,5,999
E2,-1,LSTM,RMSE,7.643976917225181,5,999
E2,+1,LSTM,MAE,4.246134057587483,5,999
E2,+1,LSTM,RMSE,5.9532675101200025,5,999
E2,aggregate,LSTM,MAE,5.049783584796222,5,999
E2,aggregate,LSTM,RMSE,6.727274446555301,5,999
E59,-1,LSTM,MAE,4.047699922584223,5,42
E59,-1,LSTM,RMSE,5.388301106141163,5,42
E59,+1,LSTM,MAE,4.002150517140887,5,42
E59,+1,LSTM,RMSE,5.200757006272446,5,42
E59,aggregate,LSTM,MAE,4.029033232326954,5,42
E59,aggregate,LSTM,RMSE,5.312244062265007,5,42
E59,-1,LSTM,MAE,4.049393142691281,5,123
E59,-1,LSTM,RMSE,5.384405739867878,5,123
E59,+1,LSTM,MAE,3.9958524830012916,5,123
E59,+1,LSTM,RMSE,5.195519049625531,5,123
E59,aggregate,LSTM,MAE,4.027451541019967,5,123
E59,aggregate,LSTM,RMSE,5.307810671974333,5,123
E59,-1,LSTM,MAE,4.041789092040862,5,456
E59,-1,LSTM,RMSE,5.3658163361490505,5,456
E59,+1,LSTM,MAE,3.98656849092754,5,456
E59,+1,LSTM,RMSE,5.177512640615496,5,456
E59,aggregate,LSTM,MAE,4.019159030314044,5,456
E59,aggregate,LSTM,RMSE,5.289457979211316,5,456
E59,-1,LSTM,MAE,4.03621041706422,5,789
E59,-1,LSTM,RMSE,5.3677252037962795,5,789
E59,+1,LSTM,MAE,3.983376602482761,5,789
E59,+1,LSTM,RMSE,5.177335862936546,5,789
E59,aggregate,LSTM,MAE,4.014558488958837,5,789
E59,aggregate,LSTM,RMSE,5.290530016994881,5,789
E59,-1,LSTM,MAE,4.058117617629366,5,999
E59,-1,LSTM,RMSE,5.393399147459432,5,999
E59,+1,LSTM,MAE,3.9917604436065175,5,999
E59,+1,LSTM,RMSE,5.184019298179673,5,999
E59,aggregate,LSTM,MAE,4.030923655342128,5,999
E59,aggregate,LSTM,RMSE,5.308591579970967,5,999
