corridor,horizon,split_mode,seed,n_learn,n_eval,policy,policy_degenerate,mae_router,mae_persist,mae_lstm,mae_xgb,mae_oracle,best_pure,gain_vs_best_pure,gap_to_oracle
E2,1,random,0,53494,35662,PPX,false,4.106194766971335,4.1597072837343525,4.199898950678295,4.170166429207226,4.105406560938475,P,-0.053512516763017715,0.000788206032860117
E2,1,random,1,53494,35662,PPX,false,4.07278080388973,4.079020898392007,4.1598491722452655,4.130542057296992,4.07278080388973,P,-0.006240094502277138,0.0
E2,1,random,2,53494,35662,PPX,false,4.0748460202060395,4.099658471691208,4.174286060710047,4.145070507641924,4.0748460202060395,P,-0.024812451485168197,0.0
E2,1,random,3,53494,35662,PPX,false,4.091501565564134,4.126614322130722,4.201398214564629,4.158057255486472,4.091501565564134,P,-0.035112756566587855,0.0
E2,1,random,4,53494,35662,PPX,false,4.099136012400482,4.147507040735035,4.2014625351866615,4.178928372549881,4.095746091027073,P,-0.04837102833455287,0.0033899213734089884
E2,1,random,5,53494,35662,PPX,false,4.105253857184657,4.133378918015424,4.193862075847382,4.163484215285117,4.105253857184657,P,-0.028125060830767268,0.0
E2,1,random,6,53494,35662,PPX,false,4.085164883842605,4.135103496604784,4.187837471009156,4.152623835575239,4.085164883842605,P,-0.04993861276217881,0.0
E2,1,random,7,53494,35662,PPX,false,4.10213561340106,4.148639373327089,4.199465104029494,4.169808354599572,4.1019434726858,P,-0.046503759926029176,0.0001921407152600807
E2,1,random,8,53494,35662,PPX,false,4.088448293925361,4.119064394239421,4.177106369284478,4.152960623315471,4.088448293925361,P,-0.030616100314060368,0.0
E2,1,random,9,53494,35662,PPX,false,4.103645474773282,4.14530308885346,4.193348858368643,4.1694878948282375,4.101642387165076,P,-0.04165761408017765,0.002003087608206222
E2,1,random,10,53494,35662,PPD,false,4.1404524050386815,4.137250114654534,4.226270174359748,4.193021650289194,4.127016258687006,P,0.0032022903841477657,0.013436146351675227
E2,1,random,11,53494,35662,PPX,false,4.098416883146815,4.123153737901565,4.1956718676985165,4.1651439499342935,4.098416883146815,P,-0.024736854754750404,0.0
E2,1,random,12,53494,35662,PPX,false,4.090015316299004,4.116791023447793,4.180821583158844,4.144539254698882,4.090015316299004,P,-0.026775707148789074,0.0
E2,1,random,13,53494,35662,PPX,false,4.108808000402225,4.1565075917797785,4.218464000635156,4.1825924755867625,4.108808000402225,P,-0.04769959137755375,0.0
E2,1,random,14,53494,35662,PPX,false,4.081071803623411,4.109683999483894,4.19126641575844,4.148217383653676,4.081071803623411,P,-0.028612195860483247,0.0
E2,1,random,15,53494,35662,PPX,false,4.074433419098195,4.098922155975901,4.182233242711539,4.145972692971809,4.074433419098195,P,-0.024488736877705364,0.0
E2,1,random,16,53494,35662,PPX,false,4.114285693260365,4.1195618608021825,4.20567096561974,4.172689723511217,4.113322300809598,P,-0.005276167541817145,0.0009633924507674863
E2,1,random,17,53494,35662,PPX,false,4.115155045285936,4.140520717363485,4.19674823345121,4.167031451557497,4.115155045285936,P,-0.02536567207754903,0.0
E2,1,random,18,53494,35662,PPX,false,4.07668419144611,4.102202236394982,4.184101778929676,4.147217901972725,4.07668419144611,P,-0.02551804494887211,0.0
E2,1,random,19,53494,35662,PPX,false,4.091176453217556,4.150628708508136,4.199113086659043,4.16705541583374,4.091176453217556,P,-0.05945225529058007,0.0
E2,1,temporal,,55936,33220,PPD,false,4.075645358716057,4.039029028808978,4.202153735588574,4.146966812246037,4.039029028808978,P,0.03661632990707897,0.03661632990707897
E2,3,random,0,48482,32321,XDX,false,4.820828113950998,5.648372573370995,4.852549168958895,4.827934946873257,4.820828113950998,X,-0.007106832922259443,0.0
E2,3,random,1,48482,32321,XDX,false,4.810291627326714,5.658056281609596,4.829817628333785,4.834695091622584,4.809806363365223,D,-0.01952600100707169,0.00048526396149028983
E2,3,random,2,48482,32321,XDX,false,4.8177834221611615,5.699180991507776,4.857382220865782,4.829205746808702,4.8177834221611615,X,-0.01142232464754045,0.0
E2,3,random,3,48482,32321,XDX,false,4.816425443569743,5.716925995143561,4.849450418793555,4.824642677338995,4.816425443569743,X,-0.008217233769252097,0.0
E2,3,random,4,48482,32321,XDX,false,4.806768270734033,5.687612999319488,4.825611977385271,4.819144205411049,4.806768270734033,X,-0.012375934677015366,0.0
E2,3,random,5,48482,32321,XDX,false,4.7927207160433465,5.65854157711336,4.816307577120963,4.797928811277752,4.7927207160433465,X,-0.005208095234405796,0.0
E2,3,random,6,48482,32321,XDX,false,4.827111439186911,5.706973468714069,4.86128942866361,4.839906885963181,4.827111439186911,X,-0.01279544677626987,0.0
E2,3,random,7,48482,32321,XDX,false,4.809339315871128,5.666913986774052,4.836489543994167,4.827247232852465,4.809339315871128,X,-0.017907916981337202,0.0
E2,3,random,8,48482,32321,XDX,false,4.824867088883743,5.673482531305624,4.839956732928718,4.837191885685605,4.824867088883743,X,-0.012324796801861382,0.0
E2,3,random,9,48482,32321,XDX,false,4.8199745118885415,5.682659828221384,4.848554535057576,4.8320274895206285,4.8199745118885415,X,-0.012052977632087014,0.0
E2,3,random,10,48482,32321,XDX,false,4.8389308346678455,5.736490359891594,4.855442429130308,4.845283694935739,4.8389308346678455,X,-0.006352860267893945,0.0
E2,3,random,11,48482,32321,XDX,false,4.85776866182737,5.756725855988407,4.87720531456276,4.864853602522933,4.85776866182737,X,-0.007084940695563091,0.0
E2,3,random,12,48482,32321,XDX,false,4.8276506458885695,5.705983407824705,4.858535837092202,4.8341145955897735,4.8276506458885695,X,-0.006463949701204008,0.0
E2,3,random,13,48482,32321,XDX,false,4.8286678016726094,5.715068158771152,4.852453988700702,4.840196549650843,4.8286678016726094,X,-0.011528747978233334,0.0
E2,3,random,14,48482,32321,XDX,false,4.825220589494503,5.701586003129588,4.853109201550362,4.833512941093854,4.825220589494503,X,-0.008292351599351377,0.0
E2,3,random,15,48482,32321,DDX,false,4.827177312748034,5.7055384481548135,4.838262980337105,4.824108258881437,4.813678481519003,X,0.003069053866597393,0.013498831229031616
E2,3,random,16,48482,32321,XDX,false,4.853629280311748,5.746164442300022,4.868870948410754,4.874946277657416,4.853629280311748,D,-0.015241668099005956,0.0
E2,3,random,17,48482,32321,XDX,false,4.795512634863753,5.681414532375964,4.828920280286822,4.812097867826606,4.795512634863753,X,-0.016585232962852636,0.0
E2,3,random,18,48482,32321,XDX,false,4.8060284538554665,5.666272656714937,4.840586855116392,4.821949687483125,4.8060284538554665,X,-0.015921233627658182,0.0
E2,3,random,19,48482,32321,XDX,false,4.819230101810138,5.689576177814508,4.84675027076673,4.831767840305917,4.819230101810138,X,-0.012537738495779216,0.0
E2,3,temporal,,50983,29820,XDX,false,4.8634338485323125,5.702357881425772,4.911211997250596,4.878060165625303,4.8634338485323125,X,-0.014626317092990782,0.0
