corridor,horizon,winner_r1,f1_lstm_r1,f1_persist_r1,f1_ratio_r1,cv_bias_lstm_r1,winner_r2,f1_lstm_r2,f1_persist_r2,f1_ratio_r2,cv_bias_lstm_r2,winner_main,f1_lstm_main,f1_persist_main,f1_ratio_main,cv_bias_lstm_main,agrees,winner
E2,1,PERSIST,0.2299194907320726,0.577963614210949,2.5137651982904554,-0.4073719122655671,PERSIST,0.16746085772634445,0.5793626552636937,3.4596900023673416,-0.43097096261504586,PERSIST,0.2072342984792508,0.5811185146365201,2.804161854002677,-0.415074928120151,true,PERSIST
E2,3,PERSIST,0.027275651334834353,0.42781135049921176,15.68473453658077,-0.552373582022654,PERSIST,0.019586637827445325,0.4134936539746159,21.111007290654932,-0.5466191320793632,PERSIST,0.03804192608670818,0.4140994914362542,10.885345039901653,-0.535360825601093,true,PERSIST
E2,5,PERSIST,0.0030278007156619878,0.38122519413287315,125.90828457133891,-0.6025241099017716,PERSIST,0.006472491909385114,0.37279484480173536,57.59680352186811,-0.5899163319033617,PERSIST,0.010552147239263805,0.37530453017547105,35.566650243373125,-0.5865762489693871,true,PERSIST
E2,10,PERSIST,0.00014708045300779526,0.33807736613280814,2298.5880123369625,-0.6637774928794206,PERSIST,0.0004016333087890755,0.328293590394047,817.3963244827781,-0.647171127855127,PERSIST,0.0013107018808571989,0.3320913976721949,253.36913185400115,-0.6260298233035045,true,PERSIST
E4,1,PERSIST,0.4975493836328531,0.7105305423202527,1.4280603407290333,-0.1360008033632303,PERSIST,0.4975503538377791,0.6862800795357707,1.3793178403798803,-0.12855283696212083,PERSIST,0.46588832487309645,0.6861206833345552,1.4727149119296947,-0.14446077736325533,true,PERSIST
E4,3,PERSIST,0.1433007475560667,0.5176351820304119,3.612229460477072,-0.2297273954372903,PERSIST,0.11292639138240575,0.48082112567463375,4.25782777425709,-0.22528680807591236,PERSIST,0.17696287279367012,0.4864116323351221,2.74866487335032,-0.22491262047069321,true,PERSIST
E4,5,PERSIST,0.044003219747786426,0.4034399724802201,9.16841937459622,-0.2941433761996152,PERSIST,0.04111722562558406,0.35914228372240414,8.734594279117358,-0.26772099015313394,PERSIST,0.06584731317843366,0.381359113947813,5.791566816316446,-0.27832892391243413,true,PERSIST
E4,10,PERSIST,0.012373623057190284,0.2640782682381943,21.34203272700626,-0.37346788522028646,PERSIST,0.005522319374137137,0.2563719862227325,46.42469383849981,-0.34001310058947715,PERSIST,0.015133171912832932,0.268227562127747,17.72447730540152,-0.36480129524821125,true,PERSIST
E59,1,PERSIST,0.32408481567414277,0.6232750936952997,1.923185115596355,-0.19941708911963243,PERSIST,0.32279421906849154,0.6341919993488788,1.9646944148473546,-0.193322351881139,PERSIST,0.30756059214520326,0.6201087838934893,2.0162166406570323,-0.19910123353280565,true,PERSIST
E59,3,PERSIST,0.13998873330114278,0.474333001407822,3.3883655507292874,-0.28115836742672196,PERSIST,0.13333333333333333,0.47746682148166636,3.5810011611124977,-0.2737807423506399,PERSIST,0.1298001001425105,0.46856263078574456,3.60987880803866,-0.2742620628380256,true,PERSIST
E59,5,PERSIST,0.0852503089564859,0.4167037080360276,4.888002320891583,-0.31521728702213014,PERSIST,0.07603456872195445,0.40814058175593815,5.367829246831651,-0.3107141793203472,PERSIST,0.08313078289997752,0.4050602170241421,4.872565888276406,-0.30601209254647316,true,PERSIST
E59,10,PERSIST,0.028217692872191842,0.3131644892100333,11.098160669210937,-0.3705463173931289,PERSIST,0.030813073292367973,0.3064438373774707,9.945253901478667,-0.3594573487380253,PERSIST,0.034495005549389564,0.3030964805406772,8.786677251195309,-0.3538769751290775,true,PERSIST
