corridor,direction,baseline,metric,value,horizon
E2,-1,SpatialConvLSTM,MAE,5.978198271427664,3
E2,-1,SpatialConvLSTM,RMSE,7.515065850033135,3
E2,+1,SpatialConvLSTM,MAE,4.1601040236356885,3
E2,+1,SpatialConvLSTM,RMSE,5.832857614962475,3
E2,aggregate,SpatialConvLSTM,MAE,4.93629217589694,3
E2,aggregate,SpatialConvLSTM,RMSE,6.603663743603451,3
E59,-1,SpatialConvLSTM,MAE,3.9164575190139552,3
E59,-1,SpatialConvLSTM,RMSE,5.24357805826592,3
E59,+1,SpatialConvLSTM,MAE,3.800737280103724,3
E59,+1,SpatialConvLSTM,RMSE,5.001040715946765,3
E59,aggregate,SpatialConvLSTM,MAE,3.869034319630199,3
E59,aggregate,SpatialConvLSTM,RMSE,5.145566759375271,3
